#P (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (g/mol)       	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            	H2              	He              	N2              
1.0000000000e-10	5.0364387643e+02	2.6592530764e+09	1.4381134875e+09	4.4728097085e+00	4.4443958851e-10	2.8247756469e-09	3.9354142782e-02	3.2586661013e-03	1.4340152196e-12	7.8555950661e-01	1.3484385283e-01	5.3410527714e-03
1.2388629240e-10	5.0364387661e+02	3.2944685838e+09	1.7816254796e+09	4.4728348412e+00	6.8119948953e-10	4.3294326805e-09	3.9352586154e-02	3.2628695405e-03	1.7767377299e-12	7.8555474273e-01	1.3484461201e-01	5.3422891538e-03
1.5347813444e-10	5.0364387683e+02	4.0814457428e+09	2.2071897501e+09	4.4728906241e+00	1.0432002107e-09	6.6295360148e-09	3.9348557525e-02	3.2696301708e-03	2.2013489121e-12	7.8554885523e-01	1.3484628847e-01	5.3434501900e-03
1.9013837041e-10	5.0364387711e+02	5.0565090292e+09	2.7344055461e+09	4.4730296843e+00	1.5937211104e-09	1.0125435054e-08	3.9337744114e-02	3.2837138738e-03	2.7274112135e-12	7.8553932947e-01	1.3485048159e-01	5.3445917308e-03
2.3555537753e-10	5.0364387746e+02	6.2648125404e+09	3.3875536479e+09	4.4733801088e+00	2.4198443769e-09	1.5363528415e-08	3.9309814245e-02	3.3166248814e-03	3.3791596085e-12	7.8552010922e-01	1.3486105166e-01	5.3458414858e-03
2.9182082376e-10	5.0364387789e+02	7.7626130347e+09	4.1967146138e+09	4.4741692069e+00	3.6284706497e-09	2.3001109063e-08	3.9246479160e-02	3.3887583842e-03	4.1866193778e-12	7.8548045401e-01	1.3488484088e-01	5.3474273953e-03
3.6152599901e-10	5.0364387842e+02	9.6197936595e+09	5.1991541322e+09	4.4755556905e+00	5.3531410797e-09	3.3840348621e-08	3.9134903948e-02	3.5144175385e-03	5.1869951759e-12	7.8541279504e-01	1.3492664133e-01	5.3495266688e-03
4.4788115623e-10	5.0364387907e+02	1.1922151026e+10	6.4410392821e+09	4.4772627257e+00	7.8400769166e-09	4.9392872432e-08	3.8997464740e-02	3.6687923835e-03	6.4263888000e-12	7.8533010847e-01	1.3497810222e-01	5.3519042719e-03
5.5486335881e-10	5.0364387989e+02	1.4774558009e+10	7.9795647457e+09	4.4786713654e+00	1.1591617239e-08	7.2821761242e-08	3.8884064790e-02	3.7963606153e-03	7.9619109736e-12	7.8526156067e-01	1.3502057206e-01	5.3539734059e-03
6.8739964312e-10	5.0364388090e+02	1.8306952756e+10	9.8855868932e+09	4.4794790527e+00	1.7420641092e-08	1.0926417523e-07	3.8819149351e-02	3.8699173425e-03	9.8642980797e-12	7.8522148603e-01	1.3504492014e-01	5.3554251196e-03
8.5159393183e-10	5.0364388215e+02	2.2681643567e+10	1.2246887054e+10	4.4798421713e+00	2.6485087805e-08	1.6599684496e-07	3.8790046804e-02	3.9034957771e-03	1.2221177784e-11	7.8520253978e-01	1.3505586819e-01	5.3563956858e-03
1.0550081484e-09	5.0364388369e+02	2.8100421931e+10	1.5172214258e+10	4.4799973995e+00	4.0480421375e-08	2.5363513732e-07	3.8777635802e-02	3.9183450339e-03	1.5141116877e-11	7.8519356141e-01	1.3506055389e-01	5.3571125336e-03
1.3070104796e-09	5.0364388561e+02	3.4813287177e+10	1.8796293648e+10	4.4800895932e+00	6.1971470032e-08	3.8821917649e-07	3.8770277855e-02	3.9274462483e-03	1.8758626406e-11	7.8518773675e-01	1.3506333344e-01	5.3577223873e-03
