#grid point     c_iterations    c_convergence           elem_conserved          P (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (g/mol)               e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
0               7               ok                      ok                      1.0000000000e-10        5.0364387643e+02        2.6721397942e+09        1.4381134875e+09        2.5203413524e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
1               7               ok                      ok                      1.2388629240e-10        5.0364387661e+02        3.3104156200e+09        1.7816254796e+09        2.5203418871e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
2               7               ok                      ok                      1.5347813444e-10        5.0364387683e+02        4.1011519444e+09        2.2071897501e+09        2.5203423613e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
3               7               ok                      ok                      1.9013837041e-10        5.0364387711e+02        5.0807661255e+09        2.7344055461e+09        2.5203428766e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
4               7               ok                      ok                      2.3555537753e-10        5.0364387746e+02        6.2943747898e+09        3.3875536479e+09        2.5203436839e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
5               7               ok                      ok                      2.9182082376e-10        5.0364387789e+02        7.7978729922e+09        4.1967146138e+09        2.5203454433e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
6               7               ok                      ok                      3.6152599901e-10        5.0364387842e+02        9.6605129959e+09        5.1991541322e+09        2.5203499504e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
7               7               ok                      ok                      4.4788115623e-10        5.0364387907e+02        1.1968108321e+10        6.4410392821e+09        2.5203619500e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
8               7               ok                      ok                      5.5486335881e-10        5.0364387989e+02        1.4827024655e+10        7.9795647457e+09        2.5203923944e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
9               8               ok                      ok                      6.8739964312e-10        5.0364388090e+02        1.8369129734e+10        9.8855868932e+09        2.5204580453e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
