#P (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (g/mol)       	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            	H2              	He              	N2              
1.0000000000e-10	5.0364387643e+02	2.6721397942e+09	1.4381134875e+09	2.5203413524e+00	6.6228845476e-11	2.6789166168e-11	2.6994281296e-03	1.8780549695e-03	5.2635310906e-13	8.4668060750e-01	1.4476893027e-01	5.7471450821e-04
1.2388629240e-10	5.0364387661e+02	3.3104156200e+09	1.7816254796e+09	2.5203418871e+00	1.0163565762e-10	4.1109637521e-11	2.6993378807e-03	1.8781972478e-03	6.5209377763e-13	8.4668049937e-01	1.4476896099e-01	5.7474016234e-04
1.5347813444e-10	5.0364387683e+02	4.1011519444e+09	2.2071897501e+09	2.5203423613e+00	1.5597367264e-10	6.3086502726e-11	2.6992605639e-03	1.8783214418e-03	8.0787091208e-13	8.4668040265e-01	1.4476898823e-01	5.7476328540e-04
1.9013837041e-10	5.0364387711e+02	5.0807661255e+09	2.7344055461e+09	2.5203428766e+00	2.3936248448e-10	9.6811789107e-11	2.6991795367e-03	1.8784448590e-03	1.0008593076e-12	8.4668031045e-01	1.4476901782e-01	5.7478414037e-04
2.3555537753e-10	5.0364387746e+02	6.2943747898e+09	3.3875536479e+09	2.5203436839e+00	3.6731989019e-10	1.4855817224e-10	2.6990545497e-03	1.8786086405e-03	1.2399475935e-12	8.4668020687e-01	1.4476906415e-01	5.7480300086e-04
2.9182082376e-10	5.0364387789e+02	7.7978729922e+09	4.1967146138e+09	2.5203454433e+00	5.6360509461e-10	2.2792032615e-10	2.6987809225e-03	1.8789190678e-03	1.5361476569e-12	8.4668005121e-01	1.4476916509e-01	5.7482020982e-04
3.6152599901e-10	5.0364387842e+02	9.6605129959e+09	5.1991541322e+09	2.5203499504e+00	8.6444100592e-10	3.4948624462e-10	2.6980752154e-03	1.8796632248e-03	1.9031019860e-12	8.4667973375e-01	1.4476942368e-01	5.7483634068e-04
4.4788115623e-10	5.0364387907e+02	1.1968108321e+10	6.4410392821e+09	2.5203619500e+00	1.3244336396e-09	5.3508364289e-10	2.6961894739e-03	1.8815980668e-03	2.3577125868e-12	8.4667896534e-01	1.4477011239e-01	5.7485259932e-04
5.5486335881e-10	5.0364387989e+02	1.4827024655e+10	7.9795647457e+09	2.5203923944e+00	2.0238499287e-09	8.1620308929e-10	2.6913978662e-03	1.8864696475e-03	2.9209210345e-12	8.4667707820e-01	1.4477186123e-01	5.7487155088e-04
6.8739964312e-10	5.0364388090e+02	1.8369129734e+10	9.8855868932e+09	2.5204580453e+00	3.0770735860e-09	1.2361943904e-09	2.6810493494e-03	1.8969567587e-03	3.6186752455e-12	8.4667305845e-01	1.4477563006e-01	5.7489707395e-04
