#P (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (g/mol)       	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            	H2              	He              	N2              
1.0000000000e-10	5.0364387643e+02	2.7159019416e+09	1.4381134875e+09	4.3694242757e+00	5.2029018418e-11	2.1915630154e-10	2.5878528913e-02	1.7881014648e-02	1.4314758561e-12	7.7945511260e-01	1.3878311912e-01	5.4481786321e-03
1.2388629240e-10	5.0364387661e+02	3.3646488825e+09	1.7816254796e+09	4.3694485127e+00	7.9819722257e-11	3.3620941592e-10	2.5877738167e-02	1.7887391276e-02	1.7738137103e-12	7.7944685357e-01	1.3878388886e-01	5.4508796813e-03
1.5347813444e-10	5.0364387683e+02	4.1683600331e+09	2.2071897501e+09	4.3694708220e+00	1.2245847464e-10	5.1580076597e-10	2.5877091901e-02	1.7893325135e-02	2.1979950291e-12	7.7943909082e-01	1.3878459740e-01	5.4534390272e-03
1.9013837041e-10	5.0364387711e+02	5.1640521437e+09	2.7344055461e+09	4.3694923542e+00	1.8787842044e-10	7.9134138032e-10	2.5876481930e-02	1.7898928210e-02	2.7235790830e-12	7.7943177161e-01	1.3878528133e-01	5.4558542389e-03
2.3555537753e-10	5.0364387746e+02	6.3975873715e+09	3.3875536479e+09	4.3695160104e+00	2.8824573350e-10	1.2140590043e-09	2.5875649062e-02	1.7904484455e-02	3.3747981754e-12	7.7942475068e-01	1.3878603286e-01	5.4581268098e-03
2.9182082376e-10	5.0364387789e+02	7.9257942143e+09	4.1967146138e+09	4.3695493193e+00	4.4219879448e-10	1.8623860527e-09	2.5873938887e-02	1.7910721024e-02	4.1816739306e-12	7.7941764804e-01	1.3878709133e-01	5.4602648777e-03
3.6152599901e-10	5.0364387842e+02	9.8191150135e+09	5.1991541322e+09	4.3696126931e+00	6.7820709682e-10	2.8559206837e-09	2.5869595256e-02	1.7919593195e-02	5.1814001541e-12	7.7940943944e-01	1.3878910564e-01	5.4622914440e-03
4.4788115623e-10	5.0364387907e+02	1.2164950903e+10	6.4410392821e+09	4.3697611617e+00	1.0394084098e-09	4.3750230300e-09	2.5857898326e-02	1.7936353652e-02	6.4200557694e-12	7.7939737732e-01	1.3879382505e-01	5.4642664439e-03
5.5486335881e-10	5.0364387989e+02	1.5071981968e+10	7.9795647457e+09	4.3701308995e+00	1.5898946604e-09	6.6843450905e-09	2.5827179336e-02	1.7973982860e-02	7.9547263104e-12	7.7937468093e-01	1.3880557717e-01	5.4663344080e-03
6.8739964312e-10	5.0364388090e+02	1.8675745459e+10	9.8855868932e+09	4.3709794360e+00	2.4217373560e-09	1.0153932253e-08	2.5755381355e-02	1.8057015752e-02	9.8561317079e-12	7.7932854383e-01	1.3883254191e-01	5.4687660916e-03
8.5159393183e-10	5.0364388215e+02	2.3144747810e+10	1.2246887054e+10	4.3725019295e+00	3.6671493902e-09	1.5299932407e-08	2.5625804128e-02	1.8204042616e-02	1.2211885786e-11	7.7924926463e-01	1.3888090963e-01	5.4717705686e-03
1.0550081484e-09	5.0364388369e+02	2.8685099298e+10	1.5172214258e+10	4.3743211216e+00	5.5389259312e-09	2.2972240244e-08	2.5470775830e-02	1.8379146215e-02	1.5130544853e-11	7.7915556654e-01	1.3893868832e-01	5.4749699046e-03
1.3070104796e-09	5.0364388561e+02	3.5548006142e+10	1.8796293648e+10	4.3756875696e+00	8.3996649820e-09	3.4681019006e-08	2.5354482277e-02	1.8510976105e-02	1.8746613801e-11	7.7908464067e-01	1.3898207472e-01	5.4776010772e-03
1.6192068245e-09	5.0364388799e+02	4.4046223903e+10	2.3286031199e+10	4.3763948288e+00	1.2811610765e-08	5.2774919470e-08	2.5294585844e-02	1.8579898004e-02	2.3226724367e-11	7.7904669662e-01	1.3900452307e-01	5.4794587375e-03
2.0059753011e-09	5.0364389093e+02	5.4570995950e+10	2.8848200531e+10	4.3766966421e+00	1.9610184957e-08	8.0701518297e-08	2.5269343244e-02	1.8610099344e-02	2.8777310086e-11	7.7902909147e-01	1.3901410067e-01	5.4808146274e-03
2.4851284270e-09	5.0364389458e+02	6.7608047354e+10	3.5738965803e+10	4.3768302923e+00	3.0060523797e-08	1.2365570658e-07	2.5258439985e-02	1.8624197344e-02	3.5654143503e-11	7.7902000740e-01	1.3901834307e-01	5.4819300889e-03
3.0787334695e-09	5.0364389909e+02	8.3758912456e+10	4.4275679278e+10	4.3769248675e+00	4.6095669154e-08	1.8956191035e-07	2.5250849141e-02	1.8634512651e-02	4.4174184436e-11	7.7901299926e-01	1.3902134810e-01	5.4829698600e-03
3.8141287483e-09	5.0364390469e+02	1.0376932868e+11	5.4851496883e+10	4.3770732607e+00	7.0651575439e-08	2.9040830198e-07	2.5238695864e-02	1.8649940890e-02	5.4730385011e-11	7.7900340861e-01	1.3902606557e-01	5.4841007946e-03
