#grid point     c_iterations    c_convergence           elem_conserved          P (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (g/mol)               e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
0               719             ok                      ok                      1.0000000000e-10        5.0364387643e+02        2.5706598163e+09        1.4381134875e+09        2.8628954430e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
1               732             ok                      ok                      1.2388629240e-10        5.0364387661e+02        3.1848649203e+09        1.7816254796e+09        2.8630480754e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
2               744             ok                      ok                      1.5347813444e-10        5.0364387683e+02        3.9458068087e+09        2.2071897501e+09        2.8631901123e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
3               755             ok                      ok                      1.9013837041e-10        5.0364387711e+02        4.8885465634e+09        2.7344055461e+09        2.8633264658e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
4               766             ok                      ok                      2.3555537753e-10        5.0364387746e+02        6.0565241438e+09        3.3875536479e+09        2.8634612416e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
5               776             ok                      ok                      2.9182082376e-10        5.0364387789e+02        7.5035636403e+09        4.1967146138e+09        2.8635987889e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
6               786             ok                      ok                      3.6152599901e-10        5.0364387842e+02        9.2963498351e+09        5.1991541322e+09        2.8637414304e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
7               796             ok                      ok                      4.4788115623e-10        5.0364387907e+02        1.1517499833e+10        6.4410392821e+09        2.8638898056e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
8               806             ok                      ok                      5.5486335881e-10        5.0364387989e+02        1.4269360164e+10        7.9795647457e+09        2.8640416783e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
9               816             ok                      ok                      6.8739964312e-10        5.0364388090e+02        1.7678708875e+10        9.8855868932e+09        2.8641919684e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
10              827             ok                      ok                      8.5159393183e-10        5.0364388215e+02        2.1902580424e+10        1.2246887054e+10        2.8643336769e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
11              837             ok                      ok                      1.0550081484e-09        5.0364388369e+02        2.7135508604e+10        1.5172214258e+10        2.8644618061e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
12              848             ok                      ok                      1.3070104796e-09        5.0364388561e+02        3.3618473977e+10        1.8796293648e+10        2.8645724643e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
13              858             ok                      ok                      1.6192068245e-09        5.0364388799e+02        4.1650056010e+10        2.3286031199e+10        2.8646670470e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
14              868             ok                      ok                      2.0059753011e-09        5.0364389093e+02        5.1600196450e+10        2.8848200531e+10        2.8647495785e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
15              878             ok                      ok                      2.4851284270e-09        5.0364389458e+02        6.3927357964e+10        3.5738965803e+10        2.8648297201e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
16              886             ok                      ok                      3.0787334695e-09        5.0364389909e+02        7.9199977665e+10        4.4275679278e+10        2.8649289949e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
17              893             ok                      ok                      3.8141287483e-09        5.0364390469e+02        9.8123640357e+10        5.4851496883e+10        2.8650961760e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
18              895             ok                      ok                      4.7251826936e-09        5.0364391162e+02        1.2157699259e+11        6.7953484879e+10        2.8654557007e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
19              887             ok                      ok                      5.8538536482e-09        5.0364392021e+02        1.5066171027e+11        8.4185051537e+10        2.8663020121e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
20              860             ok                      ok                      7.2521222472e-09        5.0364393084e+02        1.8677379639e+11        1.0429373690e+11        2.8682153540e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
21              814             ok                      ok                      8.9843853723e-09        5.0364394402e+02        2.3169000389e+11        1.2920564047e+11        2.8719697631e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
22              764             ok                      ok                      1.1130421933e-08        5.0364396035e+02        2.8765292756e+11        1.6006807236e+11        2.8781811486e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
23              724             ok                      ok                      1.3789067061e-08        5.0364398058e+02        3.5748339804e+11        1.9830239220e+11        2.8872338666e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
24              701             ok                      ok                      1.7082763938e-08        5.0364400564e+02        4.4469690720e+11        2.4566946921e+11        2.8991251504e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
25              693             ok                      ok                      2.1163202882e-08        5.0364403669e+02        5.5346031085e+11        3.0435077820e+11        2.9125011912e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
26              697             ok                      ok                      2.6218307404e-08        5.0364407515e+02        6.8854224695e+11        3.7704886621e+11        2.9247382199e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
27              713             ok                      ok                      3.2480888972e-08        5.0364412280e+02        8.5575516874e+11        4.6711181668e+11        2.9341528137e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
28              741             ok                      ok                      4.0239369086e-08        5.0364418183e+02        1.0625987538e+12        5.7868744322e+11        2.9408935074e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
29              783             ok                      ok                      4.9851062446e-08        5.0364425496e+02        1.3186100159e+12        7.1691431390e+11        2.9457994411e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
30              845             ok                      ok                      6.1758632986e-08        5.0364434555e+02        1.6356535048e+12        8.8815840340e+11        2.9495444173e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
31              932             ok                      ok                      7.6510480643e-08        5.0364445779e+02        2.0283916315e+12        1.1003062714e+12        2.9525161802e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
32              1055            ok                      ok                      9.4785997765e-08        5.0364459684e+02        2.5149417624e+12        1.3631282683e+12        2.9549169298e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
33              1229            ok                      ok                      1.1742685835e-07        5.0364476910e+02        3.1177070772e+12        1.6887284947e+12        2.9568517306e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
34              1475            ok                      ok                      1.4547578108e-07        5.0364498251e+02        3.8643995923e+12        2.0921022343e+12        2.9583748154e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
35              1811            ok                      ok                      1.8022455153e-07        5.0364524689e+02        4.7893047799e+12        2.5918265307e+12        2.9595154986e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
36              2214            ok                      ok                      2.2327351488e-07        5.0364557442e+02        5.9348821770e+12        3.2109157062e+12        2.9603105473e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
37              2579            ok                      ok                      2.7660527949e-07        5.0364598019e+02        7.3538610920e+12        3.9778812157e+12        2.9608587391e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
38              2764            ok                      ok                      3.4267602534e-07        5.0364648287e+02        9.1119264407e+12        4.9280446355e+12        2.9613493825e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
39              2725            ok                      ok                      4.2452862274e-07        5.0364710563e+02        1.1290818601e+13        6.1051642377e+12        2.9619802293e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
40              2549            ok                      ok                      5.2593277089e-07        5.0364787714e+02        1.3991725179e+13        7.5634500329e+12        2.9628209118e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
41              2346            ok                      ok                      6.5155861036e-07        5.0364883293e+02        1.7339512706e+13        9.3700600414e+12        2.9637979384e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
42              2170            ok                      ok                      8.0719180519e-07        5.0365001702e+02        2.1488489933e+13        1.1608192690e+13        2.9647997557e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
43              2030            ok                      ok                      1.0000000000e-06        5.0365148392e+02        2.6629717027e+13        1.4380917653e+13        2.9657465220e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
44              1921            ok                      ok                      1.2388629240e-06        5.0365330120e+02        3.2999916348e+13        1.7815921410e+13        2.9665975119e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
45              1837            ok                      ok                      1.5347813444e-06        5.0365555253e+02        4.0892404748e+13        2.2071385832e+13        2.9673387351e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
46              1771            ok                      ok                      1.9013837041e-06        5.0365834157e+02        5.0670604280e+13        2.7343270173e+13        2.9679713757e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
47              1718            ok                      ok                      2.3555537753e-06        5.0366179674e+02        6.2784768971e+13        3.3874331255e+13        2.9685040677e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
48              1676            ok                      ok                      2.9182082376e-06        5.0366607712e+02        7.7792707369e+13        4.1965296423e+13        2.9689485394e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
49              1640            ok                      ok                      3.6152599901e-06        5.0367137977e+02        9.6385470646e+13        5.1988702491e+13        2.9693177310e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
50              1611            ok                      ok                      4.4788115623e-06        5.0367794878e+02        1.1941918216e+14        6.4406035982e+13        2.9696249328e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
51              1586            ok                      ok                      5.5486335881e-06        5.0368608651e+02        1.4795460384e+14        7.9788960941e+13        2.9698858204e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
52              1564            ok                      ok                      6.8739964312e-06        5.0369616747e+02        1.8330652450e+14        9.8845607121e+13        2.9701243256e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
53              1545            ok                      ok                      8.5159393183e-06        5.0370865552e+02        2.2710641559e+14        1.2245312190e+14        2.9703909994e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
54              1527            ok                      ok                      1.0550081484e-05        5.0372412514e+02        2.8138534575e+14        1.5169797379e+14        2.9708161362e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
55              1512            ok                      ok                      1.3070104796e-05        5.0374328780e+02        3.4869551271e+14        1.8792584630e+14        2.9717612940e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
56              1500            ok                      ok                      1.6192068245e-05        5.0376702454e+02        4.3232665692e+14        2.3280339359e+14        2.9742453060e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
57              1496            ok                      ok                      2.0059753011e-05        5.0379642621e+02        5.3679181463e+14        2.8839466114e+14        2.9810739106e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
58              1510            ok                      ok                      2.4851284270e-05        5.0383284335e+02        6.6904959858e+14        3.5725562878e+14        2.9993925161e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
