#P (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (g/mol)       	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            	H2              	He              	N2              
1.0000000000e-10	5.0364387643e+02	2.5706598163e+09	1.4381134875e+09	2.8628954430e+01	1.2355541057e-14	3.2455721258e-11	4.7806503332e-01	3.6157808726e-02	2.4868820564e-14	2.3089649390e-02	1.6375157884e-02	6.3257930007e-02
1.2388629240e-10	5.0364387661e+02	3.1848649203e+09	1.7816254796e+09	2.8630480754e+01	1.8904122609e-14	4.9704154573e-11	4.7808828492e-01	3.6175815190e-02	3.0769055038e-14	2.3069160463e-02	1.6376030998e-02	6.3262019763e-02
1.5347813444e-10	5.0364387683e+02	3.9458068087e+09	2.2071897501e+09	2.8631901123e+01	2.8934946867e-14	7.6140496946e-11	4.7810882591e-01	3.6191179619e-02	3.8075261016e-14	2.3051202986e-02	1.6376843423e-02	6.3265739980e-02
1.9013837041e-10	5.0364387711e+02	4.8885465634e+09	2.7344055461e+09	2.8633264658e+01	4.4292363806e-14	1.1664540408e-10	4.7812708273e-01	3.6205298184e-02	4.7117727885e-14	2.3033737891e-02	1.6377623197e-02	6.3269224424e-02
2.3555537753e-10	5.0364387746e+02	6.0565241438e+09	3.3875536479e+09	2.8634612416e+01	6.7790656304e-14	1.7867930233e-10	4.7814332010e-01	3.6219272465e-02	5.8303253760e-14	2.3015135185e-02	1.6378394160e-02	6.3272585683e-02
2.9182082376e-10	5.0364387789e+02	7.5035636403e+09	4.1967146138e+09	2.8635987889e+01	1.0371582405e-13	2.7363067788e-10	4.7815782847e-01	3.6234115809e-02	7.2131384752e-14	2.2993831784e-02	1.6379180735e-02	6.3275935603e-02
3.6152599901e-10	5.0364387842e+02	9.2963498351e+09	5.1991541322e+09	2.8637414304e+01	1.5859870840e-13	4.1889059218e-10	4.7817075505e-01	3.6250407461e-02	8.9218519868e-14	2.2968989525e-02	1.6379996563e-02	6.3279340432e-02
4.4788115623e-10	5.0364387907e+02	1.1517499833e+10	6.4410392821e+09	2.8638898056e+01	2.4239297964e-13	6.4102066476e-10	4.7818227617e-01	3.6268343974e-02	1.1032637811e-13	2.2940417408e-02	1.6380845242e-02	6.3282825473e-02
5.5486335881e-10	5.0364387989e+02	1.4269360164e+10	7.9795647457e+09	2.8640416783e+01	3.7030289954e-13	9.8065160100e-10	4.7819256336e-01	3.6287543523e-02	1.3640184781e-13	2.2908941115e-02	1.6381713919e-02	6.3286350371e-02
6.8739964312e-10	5.0364388090e+02	1.7678708875e+10	9.8855868932e+09	2.8641919684e+01	5.6562072939e-13	1.5000613247e-09	4.7820178772e-01	3.6307062667e-02	1.6862766369e-13	2.2876380827e-02	1.6382573487e-02	6.3289810245e-02
8.5159393183e-10	5.0364388215e+02	2.1902580424e+10	1.2246887054e+10	2.8643336769e+01	8.6413421515e-13	2.2949043347e-09	4.7821006128e-01	3.6325587480e-02	2.0848505570e-13	2.2845208856e-02	1.6383384303e-02	6.3293057592e-02
1.0550081484e-09	5.0364388369e+02	2.7135508604e+10	1.5172214258e+10	2.8644618061e+01	1.3208210561e-12	3.5120863194e-09	4.7821761893e-01	3.6342122320e-02	2.5781712986e-13	2.2817295721e-02	1.6384116991e-02	6.3295984666e-02
1.3070104796e-09	5.0364388561e+02	3.3618473977e+10	1.8796293648e+10	2.8645724643e+01	2.0202539500e-12	5.3774376861e-09	4.7822445545e-01	3.6355895510e-02	3.1891917218e-13	2.2794083758e-02	1.6384750154e-02	6.3298511793e-02
1.6192068245e-09	5.0364388799e+02	4.1650056010e+10	2.3286031199e+10	2.8646670470e+01	3.0921076795e-12	8.2373312955e-09	4.7823070950e-01	3.6367023969e-02	3.9461719356e-13	2.2775362499e-02	1.6385291020e-02	6.3300670871e-02
2.0059753011e-09	5.0364389093e+02	5.1600196450e+10	2.8848200531e+10	2.8647495785e+01	4.7350690846e-12	1.2622751643e-08	4.7823629786e-01	3.6376028371e-02	4.8839316424e-13	2.2760120395e-02	1.6385763067e-02	6.3302554639e-02
2.4851284270e-09	5.0364389458e+02	6.3927357964e+10	3.5738965803e+10	2.8648297201e+01	7.2520434422e-12	1.9344856625e-08	4.7824106182e-01	3.6384177943e-02	6.0449038346e-13	2.2745812294e-02	1.6386221623e-02	6.3304378795e-02
3.0787334695e-09	5.0364389909e+02	7.9199977665e+10	4.4275679278e+10	2.8649289949e+01	1.1099365883e-11	2.9632657222e-08	4.7824470060e-01	3.6394208747e-02	7.4795285359e-13	2.2726753800e-02	1.6386789147e-02	6.3306618676e-02
3.8141287483e-09	5.0364390469e+02	9.8123640357e+10	5.4851496883e+10	2.8650961760e+01	1.6944131356e-11	4.5310334185e-08	4.7824629764e-01	3.6412163967e-02	9.2438748187e-13	2.2689936766e-02	1.6387745437e-02	6.3310355206e-02
4.7251826936e-09	5.0364391162e+02	1.2157699259e+11	6.7953484879e+10	2.8654557007e+01	2.5672889942e-11	6.8920560322e-08	4.7824426991e-01	3.6453686643e-02	1.1385645019e-12	2.2601397986e-02	1.6389801742e-02	6.3318336468e-02
5.8538536482e-09	5.0364392021e+02	1.5066171027e+11	8.4185051537e+10	2.8663020121e+01	3.8149021696e-11	1.0342370423e-07	4.7823496222e-01	3.6555859072e-02	1.3900751738e-12	2.2380208990e-02	1.6394642650e-02	6.3337067498e-02
7.2521222472e-09	5.0364393084e+02	1.8677379639e+11	1.0429373690e+11	2.8682153540e+01	5.4308661071e-11	1.5063915396e-07	4.7820764875e-01	3.6789306400e-02	1.6644506490e-12	2.1872939787e-02	1.6405586699e-02	6.3379363103e-02
8.9843853723e-09	5.0364394402e+02	2.3169000389e+11	1.2920564047e+11	2.8719697631e+01	7.1968267659e-11	2.0875270297e-07	4.7812529456e-01	3.7233100409e-02	1.9290002897e-12	2.0912693153e-02	1.6427061171e-02	6.3462320209e-02
1.1130421933e-08	5.0364396035e+02	2.8765292756e+11	1.6006807236e+11	2.8781811486e+01	8.7653994500e-11	2.7281088738e-07	4.7789021043e-01	3.7904677224e-02	2.1508268748e-12	1.9480375257e-02	1.6462589012e-02	6.3599548452e-02
1.3789067061e-08	5.0364398058e+02	3.5748339804e+11	1.9830239220e+11	2.8872338666e+01	9.9194754847e-11	3.3871911938e-07	4.7733888720e-01	3.8746511460e-02	2.3182834464e-12	1.7735148065e-02	1.6514368067e-02	6.3799546975e-02
1.7082763938e-08	5.0364400564e+02	4.4469690720e+11	2.4566946921e+11	2.8991251504e+01	1.0640061357e-10	4.0505782464e-07	4.7635290797e-01	3.9679329100e-02	2.4372593859e-12	1.5875036338e-02	1.6582383796e-02	6.4062267064e-02
2.1163202882e-08	5.0364403669e+02	5.5346031085e+11	3.0435077820e+11	2.9125011912e+01	1.1004988884e-10	4.7243768630e-07	4.7508828202e-01	4.0625537545e-02	2.5172070708e-12	1.4040350211e-02	1.6658892054e-02	6.4357797652e-02
2.6218307404e-08	5.0364407515e+02	6.8854224695e+11	3.7704886621e+11	2.9247382199e+01	1.1110619627e-10	5.4278314876e-07	4.7396372677e-01	4.1512416580e-02	2.5651224793e-12	1.2308787189e-02	1.6728885012e-02	6.4628162895e-02
3.2480888972e-08	5.0364412280e+02	8.5575516874e+11	4.6711181668e+11	2.9341528137e+01	1.1046976781e-10	6.1858508976e-07	4.7325238357e-01	4.2296372457e-02	2.5879013307e-12	1.0722465276e-02	1.6782734670e-02	6.4836167412e-02
4.0239369086e-08	5.0364418183e+02	1.0625987538e+12	5.7868744322e+11	2.9408935074e+01	1.0892748591e-10	7.0248810294e-07	4.7291480038e-01	4.2971000384e-02	2.5940883059e-12	9.3033374859e-03	1.6821290023e-02	6.4985091762e-02
4.9851062446e-08	5.0364425496e+02	1.3186100159e+12	7.1691431390e+11	2.9457994411e+01	1.0715771601e-10	7.9770015462e-07	4.7279834661e-01	4.3547071746e-02	2.5926010841e-12	8.0578000753e-03	1.6849350575e-02	6.5093477423e-02
6.1758632986e-08	5.0364434555e+02	1.6356535048e+12	8.8815840340e+11	2.9495444173e+01	1.0577807158e-10	9.0879630513e-07	4.7278600914e-01	4.4036995570e-02	2.5919924377e-12	6.9815159738e-03	1.6870771277e-02	6.5176215362e-02
7.6510480643e-08	5.0364445779e+02	2.0283916315e+12	1.1003062714e+12	2.9525161802e+01	1.0542233822e-10	1.0427622765e-06	4.7281509712e-01	4.4450953914e-02	2.6010010881e-12	6.0644829514e-03	1.6887769154e-02	6.5241870779e-02
9.4785997765e-08	5.0364459684e+02	2.5149417624e+12	1.3631282683e+12	2.9549169298e+01	1.0689120648e-10	1.2109686633e-06	4.7285650760e-01	4.4796705951e-02	2.6301880117e-12	5.2953225745e-03	1.6901501057e-02	6.5294912026e-02
1.1742685835e-07	5.0364476910e+02	3.1177070772e+12	1.6887284947e+12	2.9568517306e+01	1.1138510003e-10	1.4328662599e-06	4.7289771303e-01	4.5080022601e-02	2.6941614062e-12	4.6638140629e-03	1.6912567761e-02	6.5337659916e-02
1.4547578108e-07	5.0364498251e+02	3.8643995923e+12	2.0921022343e+12	2.9583748154e+01	1.2094689236e-10	1.7433528313e-06	4.7293346271e-01	4.5304738758e-02	2.8150434073e-12	4.1625579825e-03	1.6921279514e-02	6.5371312789e-02
1.8022455153e-07	5.0364524689e+02	4.7893047799e+12	2.5918265307e+12	2.9595154986e+01	1.3919062638e-10	2.2058094211e-06	4.7296158887e-01	4.5473435271e-02	3.0260334634e-12	3.7863132876e-03	1.6927804106e-02	6.5396518646e-02
2.2327351488e-07	5.0364557442e+02	5.9348821770e+12	3.2109157062e+12	2.9603105473e+01	1.7188902465e-10	2.9263028846e-06	4.7298168807e-01	4.5590889274e-02	3.3674870732e-12	3.5246759758e-03	1.6932351653e-02	6.5414089148e-02
2.7660527949e-07	5.0364598019e+02	7.3538610920e+12	3.9778812157e+12	2.9608587391e+01	2.2513503147e-10	4.0384633774e-06	4.7299550649e-01	4.5671650794e-02	3.8576818036e-12	3.3452349993e-03	1.6935487223e-02	6.5426206268e-02
3.4267602534e-07	5.0364648287e+02	9.1119264407e+12	4.9280446355e+12	2.9613493825e+01	2.9764067147e-10	5.6083896438e-06	4.7300739851e-01	4.5744058373e-02	4.4394735585e-12	3.1846419916e-03	1.6938293616e-02	6.5437051538e-02
4.2452862274e-07	5.0364710563e+02	1.1290818601e+13	6.1051642377e+12	2.9619802293e+01	3.7219653840e-10	7.5038036623e-06	4.7302229103e-01	4.5837761525e-02	4.9700716156e-12	2.9765006353e-03	1.6941901985e-02	6.5450993334e-02
5.2593277089e-07	5.0364787714e+02	1.3991725179e+13	7.5634500329e+12	2.9628209118e+01	4.2399194323e-10	9.4326080445e-06	4.7304222015e-01	4.5963141488e-02	5.3126357195e-12	2.6974470557e-03	1.6946710562e-02	6.5469569684e-02
6.5155861036e-07	5.0364883293e+02	1.7339512706e+13	9.3700600414e+12	2.9637979384e+01	4.4119250707e-10	1.1161148345e-05	4.7306565039e-01	4.6109075214e-02	5.4288244220e-12	2.3722479092e-03	1.6952298949e-02	6.5491157030e-02
8.0719180519e-07	5.0365001702e+02	2.1488489933e+13	1.1608192690e+13	2.9647997557e+01	4.2821596445e-10	1.2607074424e-05	4.7308991684e-01	4.6258749167e-02	5.3580053881e-12	2.0384589853e-03	1.6958029224e-02	6.5513291536e-02
1.0000000000e-06	5.0365148392e+02	2.6629717027e+13	1.4380917653e+13	2.9657465220e+01	3.9561079761e-10	1.3780118070e-05	4.7311305269e-01	4.6400145358e-02	5.1587510945e-12	1.7229707557e-03	1.6963444580e-02	6.5534209149e-02
