#grid point     c_iterations    c_convergence           elem_conserved          P (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (g/mol)               e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
0               127             ok                      ok                      1.0000000000e-10        5.0364387643e+02        2.6669451447e+09        1.4381134875e+09        2.3283496175e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
1               127             ok                      ok                      1.2388629240e-10        5.0364387661e+02        3.3039796805e+09        1.7816254796e+09        2.3283497730e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
2               126             ok                      ok                      1.5347813444e-10        5.0364387683e+02        4.0931786496e+09        2.2071897501e+09        2.3283501860e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
3               125             ok                      ok                      1.9013837041e-10        5.0364387711e+02        5.0708896425e+09        2.7344055461e+09        2.3283512748e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
4               121             ok                      ok                      2.3555537753e-10        5.0364387746e+02        6.2821444907e+09        3.3875536479e+09        2.3283539915e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
5               116             ok                      ok                      2.9182082376e-10        5.0364387789e+02        7.7827348508e+09        4.1967146138e+09        2.3283596625e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
6               110             ok                      ok                      3.6152599901e-10        5.0364387842e+02        9.6417781315e+09        5.1991541322e+09        2.3283684749e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
7               108             ok                      ok                      4.4788115623e-10        5.0364387907e+02        1.1944889284e+10        6.4410392821e+09        2.3283778009e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
8               109             ok                      ok                      5.5486335881e-10        5.0364387989e+02        1.4798122642e+10        7.9795647457e+09        2.3283844394e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
9               110             ok                      ok                      6.8739964312e-10        5.0364388090e+02        1.8332872379e+10        9.8855868932e+09        2.3283878602e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
10              111             ok                      ok                      8.5159393183e-10        5.0364388215e+02        2.2711930445e+10        1.2246887054e+10        2.3283893578e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
11              111             ok                      ok                      1.0550081484e-09        5.0364388369e+02        2.8136977363e+10        1.5172214258e+10        2.3283900940e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
