#P (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (g/mol)       	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            	H2              	He              	N2              
1.0000000000e-10	5.0364387643e+02	2.6669451447e+09	1.4381134875e+09	2.3283496175e+00	5.6546896817e-10	3.5644124304e-11	4.2419960349e-04	3.5443710466e-05	1.6892393676e-13	8.5378975791e-01	1.4535076873e-01	5.7727955917e-05
1.2388629240e-10	5.0364387661e+02	3.3039796805e+09	1.7816254796e+09	2.3283497730e+00	8.6715017459e-10	5.4656979767e-11	4.2417238935e-04	3.5470904771e-05	2.0927363274e-13	8.5378974767e-01	1.4535077848e-01	5.7727975321e-05
1.5347813444e-10	5.0364387683e+02	4.0931786496e+09	2.2071897501e+09	2.3283501860e+00	1.3280040688e-09	8.3690892746e-11	4.2410155512e-04	3.5541938188e-05	2.5926138503e-13	8.5378972120e-01	1.4535080418e-01	5.7727999319e-05
1.9013837041e-10	5.0364387711e+02	5.0708896425e+09	2.7344055461e+09	2.3283512748e+00	2.0265947346e-09	1.2765963172e-10	4.2391395576e-04	3.5729574625e-05	3.2118938501e-13	8.5378965186e-01	1.4535087226e-01	5.7728038399e-05
2.3555537753e-10	5.0364387746e+02	6.2821444907e+09	3.3875536479e+09	2.3283539915e+00	3.0668905372e-09	1.9297774391e-10	4.2344782038e-04	3.6196360251e-05	3.9790976404e-13	8.5378948012e-01	1.4535104174e-01	5.7728115780e-05
2.9182082376e-10	5.0364387789e+02	7.7827348508e+09	4.1967146138e+09	2.3283596625e+00	4.5729673878e-09	2.8708251974e-10	4.2247344785e-04	3.7171538530e-05	4.9295597300e-13	8.5378912209e-01	1.4535139594e-01	5.7728264336e-05
3.6152599901e-10	5.0364387842e+02	9.6417781315e+09	5.1991541322e+09	2.3283684749e+00	6.7195957267e-09	4.2033376183e-10	4.2096076971e-04	3.8685956734e-05	6.1070546189e-13	8.5378856632e-01	1.4535194600e-01	5.7728488883e-05
4.4788115623e-10	5.0364387907e+02	1.1944889284e+10	6.4410392821e+09	2.3283778009e+00	9.8650005122e-09	6.1474203949e-10	4.1935903342e-04	4.0289264205e-05	7.5658111152e-13	8.5378797706e-01	1.4535252830e-01	5.7728725770e-05
5.5486335881e-10	5.0364387989e+02	1.4798122642e+10	7.9795647457e+09	2.3283844394e+00	1.4683220451e-08	9.1250248009e-10	4.1821800616e-04	4.1431216462e-05	9.3730096167e-13	8.5378755478e-01	1.4535294282e-01	5.7728896623e-05
6.8739964312e-10	5.0364388090e+02	1.8332872379e+10	9.8855868932e+09	2.3283878602e+00	2.2188141892e-08	1.3769609795e-09	4.1762894067e-04	4.2020581277e-05	1.1611878477e-12	8.5378733183e-01	1.4535315633e-01	5.7728988117e-05
8.5159393183e-10	5.0364388215e+02	2.2711930445e+10	1.2246887054e+10	2.3283893578e+00	3.3823260246e-08	2.0977080576e-09	4.1736826398e-04	4.2280747146e-05	1.4385528056e-12	8.5378722520e-01	1.4535324991e-01	5.7729031868e-05
1.0550081484e-09	5.0364388369e+02	2.8136977363e+10	1.5172214258e+10	2.3283900940e+00	5.1735303045e-08	3.2075975840e-09	4.1723689373e-04	4.2411218203e-05	1.7821698412e-12	8.5378715989e-01	1.4535329583e-01	5.7729056218e-05
