#P (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (g/mol)       	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            	H2              	He              	N2              
1.0000000000e-10	5.0364387643e+02	2.6662002486e+09	1.4381134875e+09	2.5370162857e+00	5.5254219094e-10	3.4855684537e-10	4.2121782396e-03	3.5183694834e-04	5.2608057273e-13	8.4714631217e-01	1.4432860317e-01	5.7317319057e-04
1.2388629240e-10	5.0364387661e+02	3.3030587592e+09	1.7816254796e+09	2.5370179111e+00	8.4733522637e-10	5.3448697214e-10	4.2119225376e-03	3.5210451569e-04	6.5174455201e-13	8.4714619986e-01	1.4432869603e-01	5.7317841069e-04
1.5347813444e-10	5.0364387683e+02	4.0920439475e+09	2.2071897501e+09	2.5370222130e+00	1.2977421050e-09	8.1846769192e-10	4.2112548244e-03	3.5278953378e-04	8.0742549342e-13	8.4714592900e-01	1.4432893993e-01	5.7318369731e-04
1.9013837041e-10	5.0364387711e+02	5.0695042568e+09	2.7344055461e+09	2.5370335727e+00	1.9807901077e-09	1.2487307968e-09	4.2094793726e-03	3.5459117457e-04	1.0002938076e-12	8.4714523281e-01	1.4432958712e-01	5.7319004593e-04
2.3555537753e-10	5.0364387746e+02	6.2804912492e+09	3.3875536479e+09	2.5370619938e+00	2.9988659638e-09	1.8885581049e-09	4.2050429642e-03	3.5908331410e-04	1.2392334977e-12	8.4714351049e-01	1.4433120474e-01	5.7319964421e-04
2.9182082376e-10	5.0364387789e+02	7.7808517784e+09	4.1967146138e+09	2.5371220105e+00	4.4742563279e-09	2.8114357987e-09	4.1956823130e-03	3.6855685986e-04	1.5352520654e-12	8.4713988744e-01	1.4433461851e-01	5.7321569544e-04
3.6152599901e-10	5.0364387842e+02	9.6397672477e+09	5.1991541322e+09	2.5372163706e+00	6.5770201515e-09	4.1182543521e-09	4.1809634191e-03	3.8344907419e-04	1.9019862362e-12	8.4713419629e-01	1.4433998607e-01	5.7323894050e-04
4.4788115623e-10	5.0364387907e+02	1.1942827031e+10	6.4410392821e+09	2.5373176526e+00	9.6533909928e-09	6.0217408765e-09	4.1651573580e-03	3.9943774390e-04	2.3563253823e-12	8.4712808606e-01	1.4434574910e-01	5.7326360091e-04
5.5486335881e-10	5.0364387989e+02	1.4795951185e+10	7.9795647457e+09	2.5373906220e+00	1.4360878492e-08	8.9337990888e-09	4.1537673519e-03	4.1095894984e-04	2.9191883019e-12	8.4712367970e-01	1.4434990131e-01	5.7328205345e-04
6.8739964312e-10	5.0364388090e+02	1.8330427742e+10	9.8855868932e+09	2.5374283403e+00	2.1694966256e-08	1.3477188827e-08	4.1478798335e-03	4.1691490632e-04	3.6164930281e-12	8.4712139545e-01	1.4435204670e-01	5.7329270174e-04
8.5159393183e-10	5.0364388215e+02	2.2709031963e+10	1.2246887054e+10	2.5374445006e+00	3.3073686143e-08	2.0533275360e-08	4.1453477105e-03	4.1947253790e-04	4.4803536662e-12	8.4712040529e-01	1.4435296660e-01	5.7329846656e-04
1.0550081484e-09	5.0364388369e+02	2.8133458368e+10	1.5172214258e+10	2.5374517887e+00	5.0607125312e-08	3.1409934437e-08	4.1441977682e-03	4.2062948149e-04	5.5505568555e-12	8.4711994479e-01	1.4435338073e-01	5.7330209007e-04
1.3070104796e-09	5.0364388561e+02	3.4853573034e+10	1.8796293648e+10	2.5374572198e+00	7.7494327386e-08	4.8087697683e-08	4.1433251354e-03	4.2149835351e-04	6.8763926371e-12	8.4711958690e-01	1.4435369002e-01	5.7330512657e-04
1.6192068245e-09	5.0364388799e+02	4.3178951105e+10	2.3286031199e+10	2.5374661559e+00	1.1849520984e-07	7.3504733356e-08	4.1418958791e-03	4.2292239037e-04	8.5189257352e-12	8.4711900670e-01	1.4435419784e-01	5.7330877090e-04
2.0059753011e-09	5.0364389093e+02	5.3493249481e+10	2.8848200531e+10	2.5374874152e+00	1.8027667361e-07	1.1173802697e-07	4.1385238857e-03	4.2629726938e-04	1.0553812919e-11	8.4711766977e-01	1.4435540728e-01	5.7331500617e-04
2.4851284270e-09	5.0364389458e+02	6.6272218813e+10	3.5738965803e+10	2.5375416302e+00	2.7066532789e-07	1.6741693690e-07	4.1299908637e-03	4.3487487049e-04	1.3074802486e-11	8.4711433858e-01	1.4435849133e-01	5.7332844180e-04
