#grid point     c_iterations    c_convergence           elem_conserved          P (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (g/mol)               e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
0               92              ok                      ok                      1.0000000000e-10        5.0364387643e+02        2.6735278300e+09        1.4381134875e+09        2.9777951528e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
1               91              ok                      ok                      1.2388629240e-10        5.0364387661e+02        3.3126803211e+09        1.7816254796e+09        2.9782857641e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
2               91              ok                      ok                      1.5347813444e-10        5.0364387683e+02        4.1046172621e+09        2.2071897501e+09        2.9787651958e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
3               90              ok                      ok                      1.9013837041e-10        5.0364387711e+02        5.0858673650e+09        2.7344055461e+09        2.9792391162e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
4               90              ok                      ok                      2.3555537753e-10        5.0364387746e+02        6.3016782693e+09        3.3875536479e+09        2.9797053611e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
5               89              ok                      ok                      2.9182082376e-10        5.0364387789e+02        7.8081314232e+09        4.1967146138e+09        2.9801693079e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
6               89              ok                      ok                      3.6152599901e-10        5.0364387842e+02        9.6746957471e+09        5.1991541322e+09        2.9806288619e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
7               88              ok                      ok                      4.4788115623e-10        5.0364387907e+02        1.1987474280e+10        6.4410392821e+09        2.9810894122e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
8               88              ok                      ok                      5.5486335881e-10        5.0364387989e+02        1.4853126911e+10        7.9795647457e+09        2.9815491201e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
9               87              ok                      ok                      6.8739964312e-10        5.0364388090e+02        1.8403855048e+10        9.8855868932e+09        2.9820135239e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
10              87              ok                      ok                      8.5159393183e-10        5.0364388215e+02        2.2803427529e+10        1.2246887054e+10        2.9824810841e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
11              87              ok                      ok                      1.0550081484e-09        5.0364388369e+02        2.8254816633e+10        1.5172214258e+10        2.9829558384e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
12              86              ok                      ok                      1.3070104796e-09        5.0364388561e+02        3.5009546076e+10        1.8796293648e+10        2.9834416081e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
13              86              ok                      ok                      1.6192068245e-09        5.0364388799e+02        4.3379240406e+10        2.3286031199e+10        2.9839378227e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
14              85              ok                      ok                      2.0059753011e-09        5.0364389093e+02        5.3750169585e+10        2.8848200531e+10        2.9844506360e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
15              85              ok                      ok                      2.4851284270e-09        5.0364389458e+02        6.6600921941e+10        3.5738965803e+10        2.9849809817e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
16              84              ok                      ok                      3.0787334695e-09        5.0364389909e+02        8.2524799313e+10        4.4275679278e+10        2.9855375896e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
17              83              ok                      ok                      3.8141287483e-09        5.0364390469e+02        1.0225715300e+11        5.4851496883e+10        2.9861285902e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
18              83              ok                      ok                      4.7251826936e-09        5.0364391162e+02        1.2670981143e+11        6.7953484879e+10        2.9867703200e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
19              82              ok                      ok                      5.8538536482e-09        5.0364392021e+02        1.5701451477e+11        8.4185051537e+10        2.9875015129e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
20              81              ok                      ok                      7.2521222472e-09        5.0364393084e+02        1.9457777274e+11        1.0429373690e+11        2.9883971638e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
21              79              ok                      ok                      8.9843853723e-09        5.0364394402e+02        2.4115416878e+11        1.2920564047e+11        2.9896241637e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
22              78              ok                      ok                      1.1130421933e-08        5.0364396035e+02        2.9894739231e+11        1.6006807236e+11        2.9915299875e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
23              76              ok                      ok                      1.3789067061e-08        5.0364398058e+02        3.7075862918e+11        1.9830239220e+11        2.9947916146e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
24              75              ok                      ok                      1.7082763938e-08        5.0364400564e+02        4.6018115031e+11        2.4566946921e+11        3.0004124256e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
25              73              ok                      ok                      2.1163202882e-08        5.0364403669e+02        5.7174670076e+11        3.0435077820e+11        3.0090719300e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
26              70              ok                      ok                      2.6218307404e-08        5.0364407515e+02        7.1082063427e+11        3.7704886621e+11        3.0197131205e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
27              68              ok                      ok                      3.2480888972e-08        5.0364412280e+02        8.8350192119e+11        4.6711181668e+11        3.0296325984e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
28              65              ok                      ok                      4.0239369086e-08        5.0364418183e+02        1.0972146912e+12        5.7868744322e+11        3.0370425638e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
29              61              ok                      ok                      4.9851062446e-08        5.0364425496e+02        1.3615961614e+12        7.1691431390e+11        3.0421762224e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
30              58              ok                      ok                      6.1758632986e-08        5.0364434555e+02        1.6889766024e+12        8.8815840340e+11        3.0460464532e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
31              54              ok                      ok                      7.6510480643e-08        5.0364445779e+02        2.0947535552e+12        1.1003062714e+12        3.0494579262e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
32              51              ok                      ok                      9.4785997765e-08        5.0364459684e+02        2.5979921090e+12        1.3631282683e+12        3.0528426539e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
33              48              ok                      ok                      1.1742685835e-07        5.0364476910e+02        3.2223086962e+12        1.6887284947e+12        3.0564032004e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
34              45              ok                      ok                      1.4547578108e-07        5.0364498251e+02        3.9969795143e+12        2.0921022343e+12        3.0602180021e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
35              42              ok                      ok                      1.8022455153e-07        5.0364524689e+02        4.9583226238e+12        2.5918265307e+12        3.0643065411e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
36              38              ok                      ok                      2.2327351488e-07        5.0364557442e+02        6.1514104058e+12        3.2109157062e+12        3.0686624827e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
37              33              ok                      ok                      2.7660527949e-07        5.0364598019e+02        7.6321592306e+12        3.9778812157e+12        3.0732575829e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
38              35              ok                      ok                      3.4267602534e-07        5.0364648287e+02        9.4699450338e+12        4.9280446355e+12        3.0780550344e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
39              34              ok                      ok                      4.2452862274e-07        5.0364710563e+02        1.1750958546e+13        6.1051642377e+12        3.0830426323e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
40              33              ok                      ok                      5.2593277089e-07        5.0364787714e+02        1.4582079746e+13        7.5634500329e+12        3.0881831040e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
41              32              ok                      ok                      6.5155861036e-07        5.0364883293e+02        1.8095980757e+13        9.3700600414e+12        3.0934493560e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
42              35              ok                      ok                      8.0719180519e-07        5.0365001702e+02        2.2456878879e+13        1.1608192690e+13        3.0987617485e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
43              35              ok                      ok                      1.0000000000e-06        5.0365148392e+02        2.7869172565e+13        1.4380917653e+13        3.1041370668e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
44              35              ok                      ok                      1.2388629240e-06        5.0365330120e+02        3.4585969610e+13        1.7815921410e+13        3.1095326450e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
45              35              ok                      ok                      1.5347813444e-06        5.0365555253e+02        4.2921364923e+13        2.2071385832e+13        3.1149237970e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
46              35              ok                      ok                      1.9013837041e-06        5.0365834157e+02        5.3264964624e+13        2.7343270173e+13        3.1202885098e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
47              35              ok                      ok                      2.3555537753e-06        5.0366179674e+02        6.6100010819e+13        3.3874331255e+13        3.1256073651e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
