#grid point     c_iterations    c_convergence           elem_conserved          P (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (g/mol)               e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
0               12              ok                      ok                      1.0000000000e-10        5.0364387643e+02        2.6677052965e+09        1.4381134875e+09        2.3357901599e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
1               12              ok                      ok                      1.2388629240e-10        5.0364387661e+02        3.3049283436e+09        1.7816254796e+09        2.3357952182e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
2               11              ok                      ok                      1.5347813444e-10        5.0364387683e+02        4.0943613645e+09        2.2071897501e+09        2.3357998748e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
3               11              ok                      ok                      1.9013837041e-10        5.0364387711e+02        5.0723617347e+09        2.7344055461e+09        2.3358041348e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
4               10              ok                      ok                      2.3555537753e-10        5.0364387746e+02        6.2839712357e+09        3.3875536479e+09        2.3358079877e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
5               10              ok                      ok                      2.9182082376e-10        5.0364387789e+02        7.7849904368e+09        4.1967146138e+09        2.3358114254e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
6               9               ok                      ok                      3.6152599901e-10        5.0364387842e+02        9.6445485817e+09        5.1991541322e+09        2.3358144656e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
7               9               ok                      ok                      4.4788115623e-10        5.0364387907e+02        1.1948287318e+10        6.4410392821e+09        2.3358171413e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
8               9               ok                      ok                      5.5486335881e-10        5.0364387989e+02        1.4802304874e+10        7.9795647457e+09        2.3358194673e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
9               9               ok                      ok                      6.8739964312e-10        5.0364388090e+02        1.8338042413e+10        9.8855868932e+09        2.3358214740e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
