#P (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (g/mol)       	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            	H2              	He              	N2              
1.0000000000e-10	5.0364387643e+02	2.6677052965e+09	1.4381134875e+09	2.3357901599e+00	1.8973394068e-04	1.2606976540e-05	4.4704938286e-04	1.1124580961e-10	1.6886808847e-13	8.5359023314e-01	1.4535617042e-01	5.7730255134e-05
1.2388629240e-10	5.0364387661e+02	3.3049283436e+09	1.7816254796e+09	2.3357952182e+00	1.8573883816e-04	1.2348623585e-05	4.4730867004e-04	1.7451388932e-10	2.0920601591e-13	8.5359397691e-01	1.4535648550e-01	5.7730380210e-05
1.5347813444e-10	5.0364387683e+02	4.0943613645e+09	2.2071897501e+09	2.3357998748e+00	1.8205771015e-04	1.2110310029e-05	4.4754780410e-04	2.7340567710e-10	2.5917940524e-13	8.5359742685e-01	1.4535677614e-01	5.7730495485e-05
1.9013837041e-10	5.0364387711e+02	5.0723617347e+09	2.7344055461e+09	2.3358041348e+00	1.7870056052e-04	1.1892748323e-05	4.4776605050e-04	4.2771425463e-10	3.2108982202e-13	8.5360057412e-01	1.4535704096e-01	5.7730600670e-05
2.3555537753e-10	5.0364387746e+02	6.2839712357e+09	3.3875536479e+09	2.3358079877e+00	1.7566942651e-04	1.1696130636e-05	4.4796318584e-04	6.6807535728e-10	3.9778858673e-13	8.5360341647e-01	1.4535727999e-01	5.7730695690e-05
2.9182082376e-10	5.0364387789e+02	7.7849904368e+09	4.1967146138e+09	2.3358114254e+00	1.7295959902e-04	1.1520205307e-05	4.4813941540e-04	1.0418331123e-09	4.9280809000e-13	8.5360595763e-01	1.4535749416e-01	5.7730780664e-05
3.6152599901e-10	5.0364387842e+02	9.6445485817e+09	5.1991541322e+09	2.3358144656e+00	1.7056147825e-04	1.1364395552e-05	4.4829524543e-04	1.6220445768e-09	6.1052447441e-13	8.5360820666e-01	1.4535768414e-01	5.7730855907e-05
4.4788115623e-10	5.0364387907e+02	1.1948287318e+10	6.4410392821e+09	2.3358171413e+00	1.6846080933e-04	1.1227813761e-05	4.4843145486e-04	2.5213101956e-09	7.5635917565e-13	8.5361017754e-01	1.4535785037e-01	5.7730921907e-05
5.5486335881e-10	5.0364387989e+02	1.4802304874e+10	7.9795647457e+09	2.3358194673e+00	1.6663788122e-04	1.1109208621e-05	4.4854912650e-04	3.9130415688e-09	9.3702860417e-13	8.5361188814e-01	1.4535799499e-01	5.7730979278e-05
6.8739964312e-10	5.0364388090e+02	1.8338042413e+10	9.8855868932e+09	2.3358214740e+00	1.6507058049e-04	1.1007163090e-05	4.4864941642e-04	6.0640716227e-09	1.1608534668e-12	8.5361335910e-01	1.4535811979e-01	5.7731028750e-05
