#P (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (g/mol)       	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            	H2              	He              	N2              
1.0000000000e-10	5.0364387643e+02	2.6742004976e+09	1.4381134875e+09	2.6114409485e+00	1.0534396089e-03	6.2300437595e-04	3.9435143552e-03	1.7206167354e-10	5.2516081687e-13	8.4598337377e-01	1.4440617430e-01	5.7352949919e-04
1.2388629240e-10	5.0364387661e+02	3.3129725707e+09	1.7816254796e+09	2.6114445309e+00	1.0516078940e-03	6.2206848040e-04	3.9444567006e-03	2.6460180293e-10	6.5060466020e-13	8.4598504879e-01	1.4440638081e-01	5.7353032005e-04
1.5347813444e-10	5.0364387683e+02	4.1043237787e+09	2.2071897501e+09	2.6114476957e+00	1.0501222408e-03	6.2130907192e-04	3.9452214085e-03	4.0676126647e-10	8.0601243551e-13	8.4598642611e-01	1.4440655279e-01	5.7353100277e-04
1.9013837041e-10	5.0364387711e+02	5.0846995564e+09	2.7344055461e+09	2.6114503072e+00	1.0489134036e-03	6.2069093195e-04	3.9458438187e-03	6.2511016955e-10	9.9854140927e-13	8.4598755744e-01	1.4440669466e-01	5.7353156589e-04
2.3555537753e-10	5.0364387746e+02	6.2992508833e+09	3.3875536479e+09	2.6114524683e+00	1.0479312546e-03	6.2018854577e-04	3.9463495836e-03	9.6043283402e-10	1.2370584641e-12	8.4598848831e-01	1.4440681205e-01	5.7353203180e-04
2.9182082376e-10	5.0364387789e+02	7.8039136420e+09	4.1967146138e+09	2.6114542647e+00	1.0471342753e-03	6.1978075067e-04	3.9467599510e-03	1.4753336590e-09	1.5325484549e-12	8.4598925633e-01	1.4440690963e-01	5.7353241904e-04
3.6152599901e-10	5.0364387842e+02	9.6679845193e+09	5.1991541322e+09	2.6114555063e+00	1.0464789909e-03	6.1944533872e-04	3.9470970887e-03	2.2659309528e-09	1.8986200898e-12	8.4598988946e-01	1.4440698890e-01	5.7353273459e-04
4.4788115623e-10	5.0364387907e+02	1.1977313267e+10	6.4410392821e+09	2.6114567694e+00	1.0459557845e-03	6.1917741751e-04	3.9473659725e-03	3.4796914907e-09	2.3521327656e-12	8.4599041853e-01	1.4440705769e-01	5.7353300744e-04
5.5486335881e-10	5.0364387989e+02	1.4838255337e+10	7.9795647457e+09	2.6114578443e+00	1.0455326306e-03	6.1896058525e-04	3.9475827944e-03	5.3430284560e-09	2.9139728954e-12	8.4599086097e-01	1.4440711627e-01	5.7353323966e-04
6.8739964312e-10	5.0364388090e+02	1.8382570791e+10	9.8855868932e+09	2.6114587700e+00	1.0451909552e-03	6.1878530409e-04	3.9477568122e-03	8.2034327091e-09	3.6100159063e-12	8.4599123298e-01	1.4440716675e-01	5.7353343966e-04
8.5159393183e-10	5.0364388215e+02	2.2773492317e+10	1.2246887054e+10	2.6114595792e+00	1.0449158058e-03	6.1864385849e-04	3.9478952642e-03	1.2594244949e-08	4.4723179038e-12	8.4599154733e-01	1.4440721093e-01	5.7353361450e-04
1.0550081484e-09	5.0364388369e+02	2.8213242899e+10	1.5172214258e+10	2.6114603000e+00	1.0446952974e-03	6.1853006115e-04	3.9480035677e-03	1.9334037747e-08	5.5405920030e-12	8.4599181382e-01	1.4440725033e-01	5.7353377021e-04
1.3070104796e-09	5.0364388561e+02	3.4952349183e+10	1.8796293648e+10	2.6114609580e+00	1.0445202060e-03	6.1843902574e-04	3.9480853967e-03	2.9679127697e-08	6.8640372979e-12	8.4599203970e-01	1.4440728634e-01	5.7353391229e-04
1.6192068245e-09	5.0364388799e+02	4.3301179508e+10	2.3286031199e+10	2.6114615782e+00	1.0443837093e-03	6.1836700402e-04	3.9481426148e-03	4.5557604767e-08	8.5036046980e-12	8.4599222974e-01	1.4440732035e-01	5.7353404614e-04
2.0059753011e-09	5.0364389093e+02	5.3644237996e+10	2.8848200531e+10	2.6114621881e+00	1.0442812962e-03	6.1831129192e-04	3.9481750148e-03	6.9928410816e-08	1.0534803981e-11	8.4599238629e-01	1.4440735385e-01	5.7353417767e-04
2.4851284270e-09	5.0364389458e+02	6.6457873095e+10	3.5738965803e+10	2.6114628210e+00	1.0442108802e-03	6.1827021467e-04	3.9481797886e-03	1.0733219444e-07	1.3051181329e-11	8.4599250891e-01	1.4440738868e-01	5.7353431406e-04
3.0787334695e-09	5.0364389909e+02	8.2332216254e+10	4.4275679278e+10	2.6114635208e+00	1.0441731824e-03	6.1824321020e-04	3.9481506078e-03	1.6473615328e-07	1.6168627496e-11	8.4599259374e-01	1.4440742728e-01	5.7353446483e-04
