#grid point     c_iterations    c_convergence           elem_conserved          P (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (g/mol)               e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
0               71              ok                      ok                      1.0000000000e-10        5.0364387643e+02        2.6742004976e+09        1.4381134875e+09        2.6114409485e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
1               72              ok                      ok                      1.2388629240e-10        5.0364387661e+02        3.3129725707e+09        1.7816254796e+09        2.6114445309e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
2               72              ok                      ok                      1.5347813444e-10        5.0364387683e+02        4.1043237787e+09        2.2071897501e+09        2.6114476957e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
3               72              ok                      ok                      1.9013837041e-10        5.0364387711e+02        5.0846995564e+09        2.7344055461e+09        2.6114503072e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
4               72              ok                      ok                      2.3555537753e-10        5.0364387746e+02        6.2992508833e+09        3.3875536479e+09        2.6114524683e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
5               72              ok                      ok                      2.9182082376e-10        5.0364387789e+02        7.8039136420e+09        4.1967146138e+09        2.6114542647e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
6               73              ok                      ok                      3.6152599901e-10        5.0364387842e+02        9.6679845193e+09        5.1991541322e+09        2.6114555063e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
7               73              ok                      ok                      4.4788115623e-10        5.0364387907e+02        1.1977313267e+10        6.4410392821e+09        2.6114567694e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
8               73              ok                      ok                      5.5486335881e-10        5.0364387989e+02        1.4838255337e+10        7.9795647457e+09        2.6114578443e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
9               73              ok                      ok                      6.8739964312e-10        5.0364388090e+02        1.8382570791e+10        9.8855868932e+09        2.6114587700e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
10              73              ok                      ok                      8.5159393183e-10        5.0364388215e+02        2.2773492317e+10        1.2246887054e+10        2.6114595792e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
11              73              ok                      ok                      1.0550081484e-09        5.0364388369e+02        2.8213242899e+10        1.5172214258e+10        2.6114603000e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
12              73              ok                      ok                      1.3070104796e-09        5.0364388561e+02        3.4952349183e+10        1.8796293648e+10        2.6114609580e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
13              73              ok                      ok                      1.6192068245e-09        5.0364388799e+02        4.3301179508e+10        2.3286031199e+10        2.6114615782e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
14              73              ok                      ok                      2.0059753011e-09        5.0364389093e+02        5.3644237996e+10        2.8848200531e+10        2.6114621881e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
15              73              ok                      ok                      2.4851284270e-09        5.0364389458e+02        6.6457873095e+10        3.5738965803e+10        2.6114628210e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
16              73              ok                      ok                      3.0787334695e-09        5.0364389909e+02        8.2332216254e+10        4.4275679278e+10        2.6114635208e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
17              73              ok                      ok                      3.8141287483e-09        5.0364390469e+02        1.0199836137e+11        5.4851496883e+10        2.6114643493e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
18              73              ok                      ok                      4.7251826936e-09        5.0364391162e+02        1.2636203718e+11        6.7953484879e+10        2.6114653968e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
19              73              ok                      ok                      5.8538536482e-09        5.0364392021e+02        1.5654532433e+11        8.4185051537e+10        2.6114667981e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
20              73              ok                      ok                      7.2521222472e-09        5.0364393084e+02        1.9393833995e+11        1.0429373690e+11        2.6114687571e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
21              73              ok                      ok                      8.9843853723e-09        5.0364394402e+02        2.4026327336e+11        1.2920564047e+11        2.6114715836e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
22              73              ok                      ok                      1.1130421933e-08        5.0364396035e+02        2.9765372792e+11        1.6006807236e+11        2.6114757494e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
23              73              ok                      ok                      1.3789067061e-08        5.0364398058e+02        3.6875303450e+11        1.9830239220e+11        2.6114819738e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
24              73              ok                      ok                      1.7082763938e-08        5.0364400564e+02        4.5683608521e+11        2.4566946921e+11        2.6114913506e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
25              72              ok                      ok                      2.1163202882e-08        5.0364403669e+02        5.6596034965e+11        3.0435077820e+11        2.6115057915e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
26              72              ok                      ok                      2.6218307404e-08        5.0364407515e+02        7.0115302760e+11        3.7704886621e+11        2.6115272754e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
27              72              ok                      ok                      3.2480888972e-08        5.0364412280e+02        8.6864325684e+11        4.6711181668e+11        2.6115597890e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
28              71              ok                      ok                      4.0239369086e-08        5.0364418183e+02        1.0761500812e+12        5.7868744322e+11        2.6116090512e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
29              70              ok                      ok                      4.9851062446e-08        5.0364425496e+02        1.3332398485e+12        7.1691431390e+11        2.6116826878e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
30              68              ok                      ok                      6.1758632986e-08        5.0364434555e+02        1.6517701706e+12        8.8815840340e+11        2.6117919467e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
31              66              ok                      ok                      7.6510480643e-08        5.0364445779e+02        2.0464412181e+12        1.1003062714e+12        2.6119512448e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
32              63              ok                      ok                      9.4785997765e-08        5.0364459684e+02        2.5354808303e+12        1.3631282683e+12        2.6121793255e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
