#grid point     c_iterations    c_convergence           elem_conserved          P (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (g/mol)               e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
0               164             ok                      ok                      1.0000000000e-10        5.0364387643e+02        3.3711381305e+09        1.4381134875e+09        3.7534799813e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
1               165             ok                      ok                      1.2388629240e-10        5.0364387661e+02        4.1765054064e+09        1.7816254796e+09        3.7535944497e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
2               166             ok                      ok                      1.5347813444e-10        5.0364387683e+02        5.1742524810e+09        2.2071897501e+09        3.7536922296e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
3               167             ok                      ok                      1.9013837041e-10        5.0364387711e+02        6.4103328513e+09        2.7344055461e+09        3.7537761435e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
4               167             ok                      ok                      2.3555537753e-10        5.0364387746e+02        7.9416722105e+09        3.3875536479e+09        3.7538463193e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
5               168             ok                      ok                      2.9182082376e-10        5.0364387789e+02        9.8388076684e+09        4.1967146138e+09        3.7539090567e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
6               169             ok                      ok                      3.6152599901e-10        5.0364387842e+02        1.2189111279e+10        5.1991541322e+09        3.7539636522e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
7               170             ok                      ok                      4.4788115623e-10        5.0364387907e+02        1.5100829914e+10        6.4410392821e+09        3.7540113616e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
8               171             ok                      ok                      5.5486335881e-10        5.0364387989e+02        1.8708066817e+10        7.9795647457e+09        3.7540532150e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
9               171             ok                      ok                      6.8739964312e-10        5.0364388090e+02        2.3176944823e+10        9.8855868932e+09        3.7540879393e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
