#P (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (g/mol)       	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            	H2              	He              	N2              
1.0000000000e-10	5.0364387643e+02	3.3711381305e+09	1.4381134875e+09	3.7534799813e+01	1.0570252434e-06	2.8872392589e-01	2.3781548076e-01	2.3019046230e-17	8.4135085990e-18	1.1045936999e-04	1.6650728254e-02	6.6130714343e-02
1.2388629240e-10	5.0364387661e+02	4.1765054064e+09	1.7816254796e+09	3.7535944497e+01	8.5442880575e-07	2.8869088700e-01	2.3786457084e-01	2.3111201304e-17	7.5788236900e-18	8.9316648954e-05	1.6651235808e-02	6.6132730182e-02
1.5347813444e-10	5.0364387683e+02	5.1742524810e+09	2.2071897501e+09	3.7536922296e+01	6.9047891104e-07	2.8866459231e-01	2.3790457262e-01	2.3186162943e-17	6.8235659653e-18	7.2197065155e-05	1.6651669235e-02	6.6134451596e-02
1.9013837041e-10	5.0364387711e+02	6.4103328513e+09	2.7344055461e+09	3.7537761435e+01	5.5786709174e-07	2.8864374303e-01	2.3793718135e-01	2.3247070048e-17	6.1411020959e-18	5.8343268835e-05	1.6652041074e-02	6.6135928372e-02
2.3555537753e-10	5.0364387746e+02	7.9416722105e+09	3.3875536479e+09	3.7538463193e+01	4.5064697385e-07	2.8862669720e-01	2.3796414493e-01	2.3296996650e-17	5.5251556788e-18	4.7138019449e-05	1.6652354836e-02	6.6137173930e-02
2.9182082376e-10	5.0364387789e+02	9.8388076684e+09	4.1967146138e+09	3.7539090567e+01	3.6398062619e-07	2.8861377809e-01	2.3798584662e-01	2.3337093966e-17	4.9696140980e-18	3.8077829150e-05	1.6652632541e-02	6.6138276734e-02
3.6152599901e-10	5.0364387842e+02	1.2189111279e+10	5.1991541322e+09	3.7539636522e+01	2.9394752894e-07	2.8860368720e-01	2.3800357651e-01	2.3369601683e-17	4.4689725292e-18	3.0754683407e-05	1.6652874089e-02	6.6139235836e-02
4.4788115623e-10	5.0364387907e+02	1.5100829914e+10	6.4410392821e+09	3.7540113616e+01	2.3736716083e-07	2.8859585826e-01	2.3801807733e-01	2.3395945506e-17	4.0180678781e-18	2.4837067495e-05	1.6653085063e-02	6.6140073371e-02
5.5486335881e-10	5.0364387989e+02	1.8708066817e+10	7.9795647457e+09	3.7540532150e+01	1.9166308326e-07	2.8858983336e-01	2.3802995173e-01	2.3417287640e-17	3.6121499292e-18	2.0056210472e-05	1.6653270043e-02	6.6140807478e-02
6.8739964312e-10	5.0364388090e+02	2.3176944823e+10	9.8855868932e+09	3.7540879393e+01	1.5475026824e-07	2.8858467245e-01	2.3804004671e-01	2.3435050103e-17	3.2469060433e-18	1.6194516838e-05	1.6653426246e-02	6.6141426543e-02
