#P (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (g/mol)       	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            	H2              	He              	N2              
1.0000000000e-10	5.0364387643e+02	2.7345181597e+09	1.4381134875e+09	5.1814577043e+00	2.6912847154e-03	1.3030495177e-02	2.9829253490e-02	4.0180053632e-10	1.4288399097e-12	7.8162954173e-01	1.3553482253e-01	5.3829564054e-03
1.2388629240e-10	5.0364387661e+02	3.3877024352e+09	1.7816254796e+09	5.1814719790e+00	2.6904194803e-03	1.3027602046e-02	2.9832263584e-02	6.1693913282e-10	1.7701429379e-12	7.8163064208e-01	1.3553519307e-01	5.3829711186e-03
1.5347813444e-10	5.0364387683e+02	4.1969089627e+09	2.2071897501e+09	5.1814844237e+00	2.6897189202e-03	1.3025259771e-02	2.9834707736e-02	9.4719458038e-10	2.1929713579e-12	7.8163166371e-01	1.3553551627e-01	5.3829839520e-03
1.9013837041e-10	5.0364387711e+02	5.1994058343e+09	2.7344055461e+09	5.1814953741e+00	2.6891514556e-03	1.3023362826e-02	2.9836694158e-02	1.4541454414e-09	2.7167987230e-12	7.8163261909e-01	1.3553580082e-01	5.3829952504e-03
2.3555537753e-10	5.0364387746e+02	6.4413631401e+09	3.3875536479e+09	5.1815050995e+00	2.6886914442e-03	1.3021825456e-02	2.9838310714e-02	2.2323056966e-09	3.3657501255e-12	7.8163351773e-01	1.3553605369e-01	5.3830052901e-03
2.9182082376e-10	5.0364387789e+02	7.9799793322e+09	4.1967146138e+09	5.1815138167e+00	2.6883180832e-03	1.3020578037e-02	2.9839628653e-02	3.4267393326e-09	4.1697132813e-12	7.8163436683e-01	1.3553628048e-01	5.3830142938e-03
3.6152599901e-10	5.0364387842e+02	9.8861155012e+09	5.1991541322e+09	5.1815217011e+00	2.6880145108e-03	1.3019564084e-02	2.9840705672e-02	5.2600953785e-09	5.1657150128e-12	7.8163517186e-01	1.3553648573e-01	5.3830224410e-03
4.4788115623e-10	5.0364387907e+02	1.2247558887e+10	6.4410392821e+09	5.1815288959e+00	2.6877670733e-03	1.3018737800e-02	2.9841588396e-02	8.0741014750e-09	6.3996265233e-12	7.8163593695e-01	1.3553667313e-01	5.3830298785e-03
5.5486335881e-10	5.0364387989e+02	1.5173065926e+10	7.9795647457e+09	5.1815355196e+00	2.6875647373e-03	1.3018062101e-02	2.9842314353e-02	1.2393248354e-08	7.9282759978e-12	7.8163666515e-01	1.3553684575e-01	5.3830367274e-03
6.8739964312e-10	5.0364388090e+02	1.8797371043e+10	9.8855868932e+09	5.1815416723e+00	2.6873986112e-03	1.3017506993e-02	2.9842913551e-02	1.9022532801e-08	9.8220658266e-12	7.8163735861e-01	1.3553700618e-01	5.3830430900e-03
