#grid point     c_iterations    c_convergence           elem_conserved          P (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (g/mol)               e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
0               104             ok                      ok                      1.0000000000e-10        5.0364387643e+02        2.7345181597e+09        1.4381134875e+09        5.1814577043e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
1               104             ok                      ok                      1.2388629240e-10        5.0364387661e+02        3.3877024352e+09        1.7816254796e+09        5.1814719790e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
2               104             ok                      ok                      1.5347813444e-10        5.0364387683e+02        4.1969089627e+09        2.2071897501e+09        5.1814844237e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
3               104             ok                      ok                      1.9013837041e-10        5.0364387711e+02        5.1994058343e+09        2.7344055461e+09        5.1814953741e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
4               104             ok                      ok                      2.3555537753e-10        5.0364387746e+02        6.4413631401e+09        3.3875536479e+09        5.1815050995e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
5               104             ok                      ok                      2.9182082376e-10        5.0364387789e+02        7.9799793322e+09        4.1967146138e+09        5.1815138167e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
6               104             ok                      ok                      3.6152599901e-10        5.0364387842e+02        9.8861155012e+09        5.1991541322e+09        5.1815217011e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
7               104             ok                      ok                      4.4788115623e-10        5.0364387907e+02        1.2247558887e+10        6.4410392821e+09        5.1815288959e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
8               104             ok                      ok                      5.5486335881e-10        5.0364387989e+02        1.5173065926e+10        7.9795647457e+09        5.1815355196e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
9               104             ok                      ok                      6.8739964312e-10        5.0364388090e+02        1.8797371043e+10        9.8855868932e+09        5.1815416723e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
10              104             ok                      ok                      8.5159393183e-10        5.0364388215e+02        2.3287391871e+10        1.2246887054e+10        5.1815474422e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
11              104             ok                      ok                      1.0550081484e-09        5.0364388369e+02        2.8849916696e+10        1.5172214258e+10        5.1815529119e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
12              104             ok                      ok                      1.3070104796e-09        5.0364388561e+02        3.5741128205e+10        1.8796293648e+10        5.1815581654e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
13              104             ok                      ok                      1.6192068245e-09        5.0364388799e+02        4.4278402196e+10        2.3286031199e+10        5.1815632971e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
14              104             ok                      ok                      2.0059753011e-09        5.0364389093e+02        5.4854924747e+10        2.8848200531e+10        5.1815684248e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
15              104             ok                      ok                      2.4851284270e-09        5.0364389458e+02        6.7957801237e+10        3.5738965803e+10        5.1815737064e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
16              104             ok                      ok                      3.0787334695e-09        5.0364389909e+02        8.4190491590e+10        4.4275679278e+10        5.1815793665e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
17              104             ok                      ok                      3.8141287483e-09        5.0364390469e+02        1.0430060571e+11        5.4851496883e+10        5.1815857347e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
18              104             ok                      ok                      4.7251826936e-09        5.0364391162e+02        1.2921434056e+11        6.7953484879e+10        5.1815933036e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
19              104             ok                      ok                      5.8538536482e-09        5.0364392021e+02        1.6007914740e+11        8.4185051537e+10        5.1816028170e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
20              104             ok                      ok                      7.2521222472e-09        5.0364393084e+02        1.9831659905e+11        1.0429373690e+11        5.1816154043e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
21              104             ok                      ok                      8.9843853723e-09        5.0364394402e+02        2.4568790099e+11        1.2920564047e+11        5.1816327827e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
22              104             ok                      ok                      1.1130421933e-08        5.0364396035e+02        3.0437508027e+11        1.6006807236e+11        5.1816575644e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
23              104             ok                      ok                      1.3789067061e-08        5.0364398058e+02        3.7708162335e+11        1.9830239220e+11        5.1816937180e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
