#P (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (g/mol)       	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            	H2              	He              	N2              
1.0000000000e-10	5.0364387643e+02	2.6675419473e+09	1.4381134875e+09	2.3266110155e+00	6.7882196280e-11	2.7348502764e-12	2.7111026868e-04	1.8866850879e-04	1.6893554667e-13	8.5374495959e-01	1.4539530706e-01	5.7744980464e-05
1.2388629240e-10	5.0364387661e+02	3.3047188774e+09	1.7816254796e+09	2.3266110591e+00	1.0417570286e-10	4.1969087138e-12	2.7110116326e-04	1.8867778772e-04	2.0928813614e-13	8.5374495655e-01	1.4539530978e-01	5.7745064806e-05
1.5347813444e-10	5.0364387683e+02	4.0940937579e+09	2.2071897501e+09	2.3266110978e+00	1.5987548676e-10	6.4406895227e-12	2.7109329874e-04	1.8868580696e-04	2.5927947968e-13	8.5374495381e-01	1.4539531221e-01	5.7745140537e-05
1.9013837041e-10	5.0364387711e+02	5.0720210566e+09	2.7344055461e+09	2.3266111416e+00	2.4535525770e-10	9.8839932191e-12	2.7108492573e-04	1.8869431903e-04	3.2121192023e-13	8.5374495074e-01	1.4539531494e-01	5.7745208759e-05
2.3555537753e-10	5.0364387746e+02	6.2835390292e+09	3.3875536479e+09	2.3266112145e+00	3.7652202000e-10	1.5167235986e-11	2.7107181445e-04	1.8870755920e-04	3.9793774593e-13	8.5374494581e-01	1.4539531950e-01	5.7745270840e-05
2.9182082376e-10	5.0364387789e+02	7.7844440822e+09	4.1967146138e+09	2.3266113801e+00	5.7772863091e-10	2.3269856975e-11	2.7104295281e-04	1.8873655343e-04	4.9299055353e-13	8.5374493498e-01	1.4539532985e-01	5.7745329031e-05
3.6152599901e-10	5.0364387842e+02	9.6438609355e+09	5.1991541322e+09	2.3266118116e+00	8.8609335791e-10	3.5680429150e-11	2.7096854238e-04	1.8881114710e-04	6.1074799422e-13	8.5374490733e-01	1.4539535681e-01	5.7745388199e-05
4.4788115623e-10	5.0364387907e+02	1.1947427665e+10	6.4410392821e+09	2.3266129664e+00	1.3575345121e-09	5.4623998810e-11	2.7077020001e-04	1.8900991813e-04	7.5663340787e-13	8.5374483407e-01	1.4539542883e-01	5.7745460101e-05
5.5486335881e-10	5.0364387989e+02	1.4801243697e+10	7.9795647457e+09	2.3266158825e+00	2.0741507179e-09	8.3304398946e-11	2.7026872434e-04	1.8951181099e-04	9.3736565205e-13	8.5374464924e-01	1.4539561185e-01	5.7745570791e-05
6.8739964312e-10	5.0364388090e+02	1.8336761197e+10	9.8855868932e+09	2.3266221218e+00	3.1528667212e-09	1.2612655255e-10	2.6919617739e-04	1.9058553874e-04	1.1612686175e-12	8.5374425598e-01	1.4539600157e-01	5.7745759248e-05
8.5159393183e-10	5.0364388215e+02	2.2716827592e+10	1.2246887054e+10	2.3266317543e+00	4.7677326425e-09	1.8955450011e-10	2.6754071454e-04	1.9224284568e-04	1.4386544021e-12	8.5374364859e-01	1.4539660358e-01	5.7746027765e-05
1.0550081484e-09	5.0364388369e+02	2.8143149838e+10	1.5172214258e+10	2.3266412184e+00	7.2118409475e-09	2.8498395545e-10	2.6591427718e-04	1.9387117583e-04	1.7822976993e-12	8.5374305091e-01	1.4539719495e-01	5.7746289347e-05
1.3070104796e-09	5.0364388561e+02	3.4865594173e+10	1.8796293648e+10	2.3266471911e+00	1.0967787884e-08	4.3173334652e-10	2.6488890012e-04	1.9489840914e-04	2.2080242749e-12	8.5374267157e-01	1.4539756717e-01	5.7746462339e-05
1.6192068245e-09	5.0364388799e+02	4.3193743244e+10	2.3286031199e+10	2.3266499554e+00	1.6761593461e-08	6.5860673105e-10	2.6441007422e-04	1.9537653520e-04	2.7354405672e-12	8.5374249136e-01	1.4539774111e-01	5.7746554268e-05
2.0059753011e-09	5.0364389093e+02	5.3511153713e+10	2.8848200531e+10	2.3266511231e+00	2.5678758039e-08	1.0082064724e-09	2.6420594394e-04	1.9558004064e-04	3.3888366406e-12	8.5374240825e-01	1.4539781474e-01	5.7746604411e-05
2.4851284270e-09	5.0364389458e+02	6.6293001352e+10	3.5738965803e+10	2.3266517307e+00	3.9373139961e-08	1.5452393276e-09	2.6409660771e-04	1.9568836522e-04	4.1983045613e-12	8.5374235528e-01	1.4539785352e-01	5.7746638632e-05
3.0787334695e-09	5.0364389909e+02	8.2127963196e+10	4.4275679278e+10	2.3266523813e+00	6.0367868310e-08	2.3681807974e-09	2.6398310957e-04	1.9580273279e-04	5.2011242142e-12	8.5374229232e-01	1.4539789250e-01	5.7746671486e-05
3.8141287483e-09	5.0364390469e+02	1.0174534002e+11	5.4851496883e+10	2.3266535825e+00	9.2475193735e-08	3.6247754746e-09	2.6376852844e-04	1.9601633887e-04	6.4434803797e-12	8.5374218303e-01	1.4539796757e-01	5.7746716586e-05
4.7251826936e-09	5.0364391162e+02	1.2604868560e+11	6.7953484879e+10	2.3266564974e+00	1.4128382732e-07	5.5271663961e-09	2.6325531065e-04	1.9652829412e-04	7.9825902896e-12	8.5374194882e-01	1.4539814972e-01	5.7746802485e-05
5.8538536482e-09	5.0364392021e+02	1.5615754439e+11	8.4185051537e+10	2.3266640067e+00	2.1433591850e-07	8.3433712289e-09	2.6194701591e-04	1.9783548396e-04	9.8893405803e-12	8.5374140082e-01	1.4539861920e-01	5.7747000553e-05
7.2521222472e-09	5.0364393084e+02	1.9345934741e+11	1.0429373690e+11	2.3266827552e+00	3.1962988628e-07	1.2287824365e-08	2.5869848908e-04	2.0108342933e-04	1.2251557045e-11	8.5374011572e-01	1.4539979039e-01	5.7747475647e-05
8.9843853723e-09	5.0364394402e+02	2.3967386294e+11	1.2920564047e+11	2.3267240766e+00	4.6068172857e-07	1.7222134966e-08	2.5156544856e-04	2.0821956067e-04	1.5178057716e-11	8.5373737702e-01	1.4540237314e-01	5.7748508167e-05
1.1130421933e-08	5.0364396035e+02	2.9693243452e+11	1.6006807236e+11	2.3267976089e+00	6.3289167968e-07	2.2468704057e-08	2.3889734658e-04	2.2089808015e-04	1.8803665197e-11	8.5373258704e-01	1.4540696739e-01	5.7750336953e-05
1.3789067061e-08	5.0364398058e+02	3.6787486864e+11	1.9830239220e+11	2.3269007019e+00	8.3219301705e-07	2.7348740075e-08	2.2114275548e-04	2.3866794283e-04	2.3295396021e-11	8.5372591699e-01	1.4541341001e-01	5.7752897893e-05
1.7082763938e-08	5.0364400564e+02	4.5576967445e+11	2.4566946921e+11	2.3270189615e+00	1.0683393315e-06	3.1876501351e-08	2.0077849768e-04	2.5905211392e-04	2.8860130595e-11	8.5371825881e-01	1.4542079911e-01	5.7755833914e-05
2.1163202882e-08	5.0364403669e+02	5.6466440083e+11	3.0435077820e+11	2.3271355225e+00	1.3692790861e-06	3.6768063996e-08	1.8068867543e-04	2.7915899677e-04	3.5754136472e-11	8.5371063935e-01	1.4542808446e-01	5.7758727322e-05
2.6218307404e-08	5.0364407515e+02	6.9957338004e+11	3.7704886621e+11	2.3272407681e+00	1.7745090595e-06	4.2857088683e-08	1.6251495562e-04	2.9734584964e-04	4.4294889108e-11	8.5370361909e-01	1.4543466330e-01	5.7761339615e-05
3.2480888972e-08	5.0364412280e+02	8.6671212227e+11	4.6711181668e+11	2.3273392656e+00	2.3056440438e-06	4.9846796563e-08	1.4547583120e-04	3.1439779462e-04	5.4875745706e-11	8.5369688865e-01	1.4544081814e-01	5.7763782834e-05
4.0239369086e-08	5.0364418183e+02	1.0737855045e+12	5.7868744322e+11	2.3274435795e+00	2.9309904022e-06	5.5503578494e-08	1.2742342165e-04	3.3246711292e-04	6.7984093818e-11	8.5368969295e-01	1.4544733444e-01	5.7766368156e-05
4.9851062446e-08	5.0364425496e+02	1.3303377648e+12	7.1691431390e+11	2.3275571349e+00	3.5920688949e-06	5.7532942600e-08	1.0777331094e-04	3.5213707056e-04	8.4223722280e-11	8.5368187789e-01	1.4545443144e-01	5.7769181656e-05
6.1758632986e-08	5.0364434555e+02	1.6481871146e+12	8.8815840340e+11	2.3276719037e+00	4.2568168148e-06	5.5618729788e-08	8.7916850777e-05	3.7201701201e-04	1.0434254246e-10	8.5367398213e-01	1.4546160536e-01	5.7772023536e-05
7.6510480643e-08	5.0364445779e+02	2.0419704096e+12	1.1003062714e+12	2.3277779025e+00	4.9272296681e-06	5.0951231928e-08	6.9580104795e-05	3.9038061955e-04	1.2926702738e-10	8.5366663343e-01	1.4546822731e-01	5.7774644218e-05
9.4785997765e-08	5.0364459684e+02	2.5298194022e+12	1.3631282683e+12	2.3278687172e+00	5.6250593994e-06	4.5015110161e-08	5.3847093934e-05	4.0613620740e-04	1.6014490225e-10	8.5366021628e-01	1.4547390134e-01	5.7776885535e-05
1.1742685835e-07	5.0364476910e+02	3.1341973999e+12	1.6887284947e+12	2.3279422641e+00	6.3823450193e-06	3.8950687458e-08	4.1064314165e-05	4.1893969319e-04	1.9839799977e-10	8.5365481742e-01	1.4547849703e-01	5.7778695173e-05
