#grid point     c_iterations    c_convergence           elem_conserved          P (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (g/mol)               e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
20              9               ok                      ok                      7.2521222472e-09        5.0364393084e+02        1.9345934741e+11        1.0429373690e+11        2.3266827552e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
21              12              ok                      ok                      8.9843853723e-09        5.0364394402e+02        2.3967386294e+11        1.2920564047e+11        2.3267240766e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
22              14              ok                      ok                      1.1130421933e-08        5.0364396035e+02        2.9693243452e+11        1.6006807236e+11        2.3267976089e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
23              17              ok                      ok                      1.3789067061e-08        5.0364398058e+02        3.6787486864e+11        1.9830239220e+11        2.3269007019e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
24              16              ok                      ok                      1.7082763938e-08        5.0364400564e+02        4.5576967445e+11        2.4566946921e+11        2.3270189615e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
25              16              ok                      ok                      2.1163202882e-08        5.0364403669e+02        5.6466440083e+11        3.0435077820e+11        2.3271355225e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
26              14              ok                      ok                      2.6218307404e-08        5.0364407515e+02        6.9957338004e+11        3.7704886621e+11        2.3272407681e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
27              14              ok                      ok                      3.2480888972e-08        5.0364412280e+02        8.6671212227e+11        4.6711181668e+11        2.3273392656e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
28              14              ok                      ok                      4.0239369086e-08        5.0364418183e+02        1.0737855045e+12        5.7868744322e+11        2.3274435795e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
29              15              ok                      ok                      4.9851062446e-08        5.0364425496e+02        1.3303377648e+12        7.1691431390e+11        2.3275571349e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
