#grid point     c_iterations    c_convergence           elem_conserved          P (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (g/mol)               e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
0               48              ok                      ok                      1.0000000000e-10        5.0364387643e+02        3.0125016603e+09        1.4381134875e+09        1.6909266270e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
1               48              ok                      ok                      1.2388629240e-10        5.0364387661e+02        3.7322494845e+09        1.7816254796e+09        1.6910049545e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
2               48              ok                      ok                      1.5347813444e-10        5.0364387683e+02        4.6239541086e+09        2.2071897501e+09        1.6910812489e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
3               48              ok                      ok                      1.9013837041e-10        5.0364387711e+02        5.7286881687e+09        2.7344055461e+09        1.6911529493e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
4               48              ok                      ok                      2.3555537753e-10        5.0364387746e+02        7.0973328235e+09        3.3875536479e+09        1.6912181153e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
5               48              ok                      ok                      2.9182082376e-10        5.0364387789e+02        8.7929239457e+09        4.1967146138e+09        1.6912761041e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
6               48              ok                      ok                      3.6152599901e-10        5.0364387842e+02        1.0893561211e+10        5.1991541322e+09        1.6913279260e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
7               48              ok                      ok                      4.4788115623e-10        5.0364387907e+02        1.3496019377e+10        6.4410392821e+09        1.6913768421e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
8               48              ok                      ok                      5.5486335881e-10        5.0364387989e+02        1.6720250071e+10        7.9795647457e+09        1.6914306655e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
9               48              ok                      ok                      6.8739964312e-10        5.0364388090e+02        2.0715059670e+10        9.8855868932e+09        1.6915091955e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
10              48              ok                      ok                      8.5159393183e-10        5.0364388215e+02        2.5665492528e+10        1.2246887054e+10        1.6916655911e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
11              48              ok                      ok                      1.0550081484e-09        5.0364388369e+02        3.1803112471e+10        1.5172214258e+10        1.6920424888e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
12              48              ok                      ok                      1.3070104796e-09        5.0364388561e+02        3.9421792682e+10        1.8796293648e+10        1.6929912352e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
13              47              ok                      ok                      1.6192068245e-09        5.0364388799e+02        4.8901211959e+10        2.3286031199e+10        1.6951757798e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
14              46              ok                      ok                      2.0059753011e-09        5.0364389093e+02        6.0723286918e+10        2.8848200531e+10        1.6991321912e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
15              46              ok                      ok                      2.4851284270e-09        5.0364389458e+02        7.5445160504e+10        3.5738965803e+10        1.7040410570e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
16              47              ok                      ok                      3.0787334695e-09        5.0364389909e+02        9.3682560473e+10        4.4275679278e+10        1.7079855060e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
17              49              ok                      ok                      3.8141287483e-09        5.0364390469e+02        1.1620746181e+11        5.4851496883e+10        1.7101573955e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
