#P (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (g/mol)       	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            	H2              	He              	N2              
1.0000000000e-10	5.0364387643e+02	3.0125016603e+09	1.4381134875e+09	1.6909266270e+01	3.8385972121e-12	2.7369888412e-10	1.8310860601e-01	1.2524646437e-01	1.0208191201e-12	3.2581278973e-01	9.8179510207e-02	3.7935850061e-02
1.2388629240e-10	5.0364387661e+02	3.7322494845e+09	1.7816254796e+09	1.6910049545e+01	5.8903380393e-12	4.1999653200e-10	1.8310778853e-01	1.2526263321e-01	1.2646590338e-12	3.2580758155e-01	9.8184057932e-02	3.7937914095e-02
1.5347813444e-10	5.0364387683e+02	4.6239541086e+09	2.2071897501e+09	1.6910812489e+01	9.0386350306e-12	6.4448577835e-10	1.8310645947e-01	1.2527885765e-01	1.5667367712e-12	3.2580146237e-01	9.8188487576e-02	3.7939935103e-02
1.9013837041e-10	5.0364387711e+02	5.7286881687e+09	2.7344055461e+09	1.6911529493e+01	1.3869759579e-11	9.8897258361e-10	1.8310511685e-01	1.2529419864e-01	1.9409675515e-12	3.2579544740e-01	9.8192650458e-02	3.7941859304e-02
2.3555537753e-10	5.0364387746e+02	7.0973328235e+09	3.3875536479e+09	1.6912181153e+01	2.1283600984e-11	1.5176267447e-09	1.8310415773e-01	1.2530792671e-01	2.4045927006e-12	3.2579033014e-01	9.8196433929e-02	3.7943646712e-02
2.9182082376e-10	5.0364387789e+02	8.7929239457e+09	4.1967146138e+09	1.6912761041e+01	3.2661334245e-11	2.3289387170e-09	1.8310375680e-01	1.2531976798e-01	2.9789712638e-12	3.2578640675e-01	9.8199800692e-02	3.7945286333e-02
3.6152599901e-10	5.0364387842e+02	1.0893561211e+10	5.1991541322e+09	1.6913279260e+01	5.0122500702e-11	3.5740540261e-09	1.8310381832e-01	1.2533001773e-01	3.6905585240e-12	3.2578332949e-01	9.8202809435e-02	3.7946804145e-02
4.4788115623e-10	5.0364387907e+02	1.3496019377e+10	6.4410392821e+09	1.6913768421e+01	7.6918715870e-11	5.4848563981e-09	1.8310391963e-01	1.2533970627e-01	4.5721118104e-12	3.2577986466e-01	9.8205649522e-02	3.7948276473e-02
5.5486335881e-10	5.0364387989e+02	1.6720250071e+10	7.9795647457e+09	1.6914306655e+01	1.1803443205e-10	8.4168394783e-09	1.8310303949e-01	1.2535129006e-01	5.6641597358e-12	3.2577297263e-01	9.8208774677e-02	3.7949881526e-02
6.8739964312e-10	5.0364388090e+02	2.0715059670e+10	9.8855868932e+09	1.6915091955e+01	1.8109402202e-10	1.2913920892e-08	1.8309862055e-01	1.2537094329e-01	7.0167335551e-12	3.2575484509e-01	9.8213334676e-02	3.7952065781e-02
8.5159393183e-10	5.0364388215e+02	2.5665492528e+10	1.2246887054e+10	1.6916655911e+01	2.7769013807e-10	1.9803714148e-08	1.8308383404e-01	1.2541518601e-01	8.6912043542e-12	3.2570439186e-01	9.8222416554e-02	3.7956022347e-02
1.0550081484e-09	5.0364388369e+02	3.1803112471e+10	1.5172214258e+10	1.6920424888e+01	4.2516169635e-10	3.0326568610e-08	1.8304038144e-01	1.2552830422e-01	1.0761558707e-11	3.2556489211e-01	9.8244303419e-02	3.7964946821e-02
