#grid point     c_iterations    c_convergence           elem_conserved          P (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (g/mol)               e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
0               101             ok                      ok                      1.0000000000e-10        5.0364387643e+02        3.0851789926e+09        1.4381134875e+09        2.0123259594e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
1               101             ok                      ok                      1.2388629240e-10        5.0364387661e+02        3.8221828609e+09        1.7816254796e+09        2.0123623083e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
2               102             ok                      ok                      1.5347813444e-10        5.0364387683e+02        4.7352294418e+09        2.2071897501e+09        2.0123912473e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
3               102             ok                      ok                      1.9013837041e-10        5.0364387711e+02        5.8663777989e+09        2.7344055461e+09        2.0124178848e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
4               102             ok                      ok                      2.3555537753e-10        5.0364387746e+02        7.2677210696e+09        3.3875536479e+09        2.0124409124e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
5               102             ok                      ok                      2.9182082376e-10        5.0364387789e+02        9.0037997992e+09        4.1967146138e+09        2.0124609550e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
6               102             ok                      ok                      3.6152599901e-10        5.0364387842e+02        1.1154571074e+10        5.1991541322e+09        2.0124785237e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
7               102             ok                      ok                      4.4788115623e-10        5.0364387907e+02        1.3819091020e+10        6.4410392821e+09        2.0124940390e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
8               102             ok                      ok                      5.5486335881e-10        5.0364387989e+02        1.7120076950e+10        7.9795647457e+09        2.0125078519e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
9               102             ok                      ok                      6.8739964312e-10        5.0364388090e+02        2.1209559311e+10        9.8855868932e+09        2.0125202627e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
10              102             ok                      ok                      8.5159393183e-10        5.0364388215e+02        2.6275883788e+10        1.2246887054e+10        2.0125315382e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
11              102             ok                      ok                      1.0550081484e-09        5.0364388369e+02        3.2552386181e+10        1.5172214258e+10        2.0125419295e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
12              102             ok                      ok                      1.3070104796e-09        5.0364388561e+02        4.0328139809e+10        1.8796293648e+10        2.0125516928e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
13              102             ok                      ok                      1.6192068245e-09        5.0364388799e+02        4.9961270844e+10        2.3286031199e+10        2.0125611133e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
14              102             ok                      ok                      2.0059753011e-09        5.0364389093e+02        6.1895455638e+10        2.8848200531e+10        2.0125705387e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
15              102             ok                      ok                      2.4851284270e-09        5.0364389458e+02        7.6680361348e+10        3.5738965803e+10        2.0125804246e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
16              102             ok                      ok                      3.0787334695e-09        5.0364389909e+02        9.4996974063e+10        4.4275679278e+10        2.0125914005e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
17              102             ok                      ok                      3.8141287483e-09        5.0364390469e+02        1.1768898608e+11        5.4851496883e+10        2.0126043638e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
18              102             ok                      ok                      4.7251826936e-09        5.0364391162e+02        1.4580169712e+11        6.7953484879e+10        2.0126206140e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
19              102             ok                      ok                      5.8538536482e-09        5.0364392021e+02        1.8063023729e+11        8.4185051537e+10        2.0126420379e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
20              102             ok                      ok                      7.2521222472e-09        5.0364393084e+02        2.2377935998e+11        1.0429373690e+11        2.0126713534e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
21              102             ok                      ok                      8.9843853723e-09        5.0364394402e+02        2.7723760174e+11        1.2920564047e+11        2.0127124052e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
22              101             ok                      ok                      1.1130421933e-08        5.0364396035e+02        3.4346958720e+11        1.6006807236e+11        2.0127725511e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
23              101             ok                      ok                      1.3789067061e-08        5.0364398058e+02        4.2552907926e+11        1.9830239220e+11        2.0128546373e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
24              101             ok                      ok                      1.7082763938e-08        5.0364400564e+02        5.2720231382e+11        2.4566946921e+11        2.0129696887e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
25              101             ok                      ok                      2.1163202882e-08        5.0364403669e+02        6.5318305379e+11        3.0435077820e+11        2.0131289752e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
26              101             ok                      ok                      2.6218307404e-08        5.0364407515e+02        8.0929210112e+11        3.7704886621e+11        2.0133476004e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
27              101             ok                      ok                      3.2480888972e-08        5.0364412280e+02        1.0027521801e+12        4.6711181668e+11        2.0136493700e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
28              101             ok                      ok                      4.0239369086e-08        5.0364418183e+02        1.2425374962e+12        5.7868744322e+11        2.0140790964e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
29              101             ok                      ok                      4.9851062446e-08        5.0364425496e+02        1.5398290556e+12        7.1691431390e+11        2.0147275148e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
30              100             ok                      ok                      6.1758632986e-08        5.0364434555e+02        1.9086234117e+12        8.8815840340e+11        2.0157696964e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
31              99              ok                      ok                      7.6510480643e-08        5.0364445779e+02        2.3665177129e+12        1.1003062714e+12        2.0174709219e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
