#P (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (g/mol)       	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            	H2              	He              	N2              
1.0000000000e-10	5.0364387643e+02	3.0851789926e+09	1.4381134875e+09	2.0123259594e+01	1.8723635398e-03	9.6167751380e-02	1.6932523072e-01	5.0232305783e-10	1.3920260258e-12	4.1825606339e-01	8.3956550927e-02	3.3344528992e-02
1.2388629240e-10	5.0364387661e+02	3.8221828609e+09	1.7816254796e+09	2.0123623083e+01	1.8715659387e-03	9.6144061894e-02	1.6935370729e-01	7.7138757800e-10	1.7245150881e-12	4.1825123156e-01	8.3958064776e-02	3.3345130196e-02
1.5347813444e-10	5.0364387683e+02	4.7352294418e+09	2.2071897501e+09	2.0123912473e+01	1.8709027136e-03	9.6124312491e-02	1.6937738203e-01	1.1844637437e-09	2.1364240548e-12	4.1824737720e-01	8.3959306182e-02	3.3345623219e-02
1.9013837041e-10	5.0364387711e+02	5.8663777989e+09	2.7344055461e+09	2.0124178848e+01	1.8703806909e-03	9.6108855591e-02	1.6939634770e-01	1.8185694989e-09	2.6467290696e-12	4.1824474838e-01	8.3960415954e-02	3.3346063903e-02
2.3555537753e-10	5.0364387746e+02	7.2677210696e+09	3.3875536479e+09	2.0124409124e+01	1.8699580681e-03	9.6096368668e-02	1.6941186767e-01	2.7919558456e-09	3.2789313837e-12	4.1824289172e-01	8.3961375427e-02	3.3346444864e-02
2.9182082376e-10	5.0364387789e+02	9.0037997992e+09	4.1967146138e+09	2.0124609550e+01	1.8696154791e-03	9.6086272583e-02	1.6942460320e-01	4.2861104683e-09	4.0621484453e-12	4.1824164039e-01	8.3962210626e-02	3.3346776430e-02
3.6152599901e-10	5.0364387842e+02	1.1154571074e+10	5.1991541322e+09	2.0124785237e+01	1.8693371654e-03	9.6078095807e-02	1.6943509277e-01	6.5795918588e-09	5.0324528520e-12	4.1824085843e-01	8.3962942822e-02	3.3347067031e-02
4.4788115623e-10	5.0364387907e+02	1.3819091020e+10	6.4410392821e+09	2.0124940390e+01	1.8691102782e-03	9.6071453741e-02	1.6944377589e-01	1.0099946865e-08	6.2345336755e-12	4.1824043504e-01	8.3963589527e-02	3.3347323603e-02
5.5486335881e-10	5.0364387989e+02	1.7120076950e+10	7.9795647457e+09	2.0125078519e+01	1.8689242953e-03	9.6066031421e-02	1.6945101304e-01	1.5503396197e-08	7.7237546103e-12	4.1824027976e-01	8.3964165360e-02	3.3347551923e-02
6.8739964312e-10	5.0364388090e+02	2.1209559311e+10	9.8855868932e+09	2.0125202627e+01	1.8687705285e-03	9.6061568875e-02	1.6945710265e-01	2.3797140461e-08	9.5687037337e-12	4.1824031853e-01	8.3964682822e-02	3.3347756918e-02
8.5159393183e-10	5.0364388215e+02	2.6275883788e+10	1.2246887054e+10	2.0125315382e+01	1.8686416943e-03	9.6057848387e-02	1.6946229591e-01	3.6527085085e-08	1.1854352300e-11	4.1824049023e-01	8.3965153027e-02	3.3347942945e-02
1.0550081484e-09	5.0364388369e+02	3.2552386181e+10	1.5172214258e+10	2.0125419295e+01	1.8685315243e-03	9.6054682943e-02	1.6946681043e-01	5.6065980821e-08	1.4685968050e-11	4.1824074365e-01	8.3965586449e-02	3.3348114092e-02
1.3070104796e-09	5.0364388561e+02	4.0328139809e+10	1.8796293648e+10	2.0125516928e+01	1.8684343858e-03	9.6051905013e-02	1.6947084363e-01	8.6055705924e-08	1.8193963241e-11	4.1824103469e-01	8.3965993758e-02	3.3348274492e-02
1.6192068245e-09	5.0364388799e+02	4.9961270844e+10	2.3286031199e+10	2.0125611133e+01	1.8683448796e-03	9.6049354718e-02	1.6947458710e-01	1.3208617862e-07	2.2539900699e-11	4.1824132339e-01	8.3966386859e-02	3.3348428733e-02
2.0059753011e-09	5.0364389093e+02	6.1895455638e+10	2.8848200531e+10	2.0125705387e+01	1.8682573728e-03	9.6046866151e-02	1.6947824354e-01	2.0273757126e-07	2.7923934455e-11	4.1824157084e-01	8.3966780258e-02	3.3348582379e-02
2.4851284270e-09	5.0364389458e+02	7.6680361348e+10	3.5738965803e+10	2.0125804246e+01	1.8681654136e-03	9.6044250269e-02	1.6948204818e-01	3.1118039590e-07	3.4594027673e-11	4.1824173526e-01	8.3967192978e-02	3.3348742718e-02
3.0787334695e-09	5.0364389909e+02	9.4996974063e+10	4.4275679278e+10	2.0125914005e+01	1.8680609574e-03	9.6041272387e-02	1.6948629722e-01	4.7763243574e-07	4.2857372384e-11	4.1824176704e-01	8.3967651301e-02	3.3348919812e-02
3.8141287483e-09	5.0364390469e+02	1.1768898608e+11	5.4851496883e+10	2.0126043638e+01	1.8679333257e-03	9.6037621896e-02	1.6949138621e-01	7.3313216733e-07	5.3094536964e-11	4.1824160196e-01	8.3968192698e-02	3.3349128027e-02
4.7251826936e-09	5.0364391162e+02	1.4580169712e+11	6.7953484879e+10	2.0126206140e+01	1.8677678232e-03	9.6032872025e-02	1.6949786091e-01	1.1253358365e-06	6.5776992899e-11	4.1824115173e-01	8.3968871428e-02	3.3349388185e-02
