#P (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (g/mol)       	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            	H2              	He              	N2              
1.0000000000e-10	5.0364387643e+02	2.6194450856e+09	1.4381134875e+09	1.5382752261e+01	8.4955448452e-11	5.8016043037e-09	2.3743115267e-01	1.8209306493e-02	1.4653961176e-12	4.4110368749e-01	8.1350352657e-02	3.1502471105e-02
1.2388629240e-10	5.0364387661e+02	3.2452341026e+09	1.7816254796e+09	1.5383229599e+01	1.3032621261e-10	8.9001808065e-09	2.3743519630e-01	1.8217903248e-02	1.8155034436e-12	4.4110085148e-01	8.1352877424e-02	3.1505804337e-02
1.5347813444e-10	5.0364387683e+02	4.0205265745e+09	2.2071897501e+09	1.5383713067e+01	1.9992036025e-10	1.3653209551e-08	2.3743878133e-01	1.8226943186e-02	2.2492453101e-12	4.4109666720e-01	8.1355434802e-02	3.1509094080e-02
1.9013837041e-10	5.0364387711e+02	4.9810690914e+09	2.7344055461e+09	1.5384292959e+01	3.0661713781e-10	2.0940482574e-08	2.3744090203e-01	1.8238909043e-02	2.7865746233e-12	4.4108787808e-01	8.1358502669e-02	3.1512516084e-02
2.3555537753e-10	5.0364387746e+02	6.1712314223e+09	3.3875536479e+09	1.5385214934e+01	4.6996068578e-10	3.2097425316e-08	2.3743903453e-01	1.8260444946e-02	3.4521441800e-12	4.4106571093e-01	8.1363372090e-02	3.1516541298e-02
2.9182082376e-10	5.0364387789e+02	7.6462535783e+09	4.1967146138e+09	1.5387113596e+01	7.1906248076e-10	4.9114443460e-08	2.3742618241e-01	1.8308674952e-02	4.2762820295e-12	4.4100737721e-01	8.1373420006e-02	3.1522394682e-02
3.6152599901e-10	5.0364387842e+02	9.4754645049e+09	5.1991541322e+09	1.5391669113e+01	1.0950638786e-09	7.4809835587e-08	2.3738484356e-01	1.8428845525e-02	5.2958570747e-12	4.4085277550e-01	8.1397510837e-02	3.1533295336e-02
4.4788115623e-10	5.0364387907e+02	1.1747022229e+10	6.4410392821e+09	1.5402448422e+01	1.6497956790e-09	1.1275240634e-07	2.3727729897e-01	1.8717052897e-02	6.5547582940e-12	4.4047408915e-01	8.1454508362e-02	3.1556102036e-02
5.5486335881e-10	5.0364387989e+02	1.4573462943e+10	7.9795647457e+09	1.5424158043e+01	2.4403800113e-09	1.6691867255e-07	2.3705353823e-01	1.9300218121e-02	8.1047383118e-12	4.3970236939e-01	8.1569323295e-02	3.1599933426e-02
6.8739964312e-10	5.0364388090e+02	1.8092844048e+10	9.8855868932e+09	1.5456896362e+01	3.5483385886e-09	2.4299860205e-07	2.3671281945e-01	2.0181276681e-02	1.0010966330e-11	4.3853360207e-01	8.1742456362e-02	3.1665144446e-02
