#grid point     c_iterations    c_convergence           elem_conserved          P (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (g/mol)               e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
0               136             ok                      ok                      1.0000000000e-10        5.0364387643e+02        2.6194450856e+09        1.4381134875e+09        1.5382752261e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
1               136             ok                      ok                      1.2388629240e-10        5.0364387661e+02        3.2452341026e+09        1.7816254796e+09        1.5383229599e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
2               136             ok                      ok                      1.5347813444e-10        5.0364387683e+02        4.0205265745e+09        2.2071897501e+09        1.5383713067e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
3               136             ok                      ok                      1.9013837041e-10        5.0364387711e+02        4.9810690914e+09        2.7344055461e+09        1.5384292959e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
4               135             ok                      ok                      2.3555537753e-10        5.0364387746e+02        6.1712314223e+09        3.3875536479e+09        1.5385214934e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
5               135             ok                      ok                      2.9182082376e-10        5.0364387789e+02        7.6462535783e+09        4.1967146138e+09        1.5387113596e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
6               133             ok                      ok                      3.6152599901e-10        5.0364387842e+02        9.4754645049e+09        5.1991541322e+09        1.5391669113e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
7               128             ok                      ok                      4.4788115623e-10        5.0364387907e+02        1.1747022229e+10        6.4410392821e+09        1.5402448422e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
8               122             ok                      ok                      5.5486335881e-10        5.0364387989e+02        1.4573462943e+10        7.9795647457e+09        1.5424158043e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
9               116             ok                      ok                      6.8739964312e-10        5.0364388090e+02        1.8092844048e+10        9.8855868932e+09        1.5456896362e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
10              114             ok                      ok                      8.5159393183e-10        5.0364388215e+02        2.2464259420e+10        1.2246887054e+10        1.5491173335e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
11              116             ok                      ok                      1.0550081484e-09        5.0364388369e+02        2.7874301374e+10        1.5172214258e+10        1.5515755740e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
12              118             ok                      ok                      1.3070104796e-09        5.0364388561e+02        3.4560927215e+10        1.8796293648e+10        1.5528556078e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
13              119             ok                      ok                      1.6192068245e-09        5.0364388799e+02        4.2831584899e+10        2.3286031199e+10        1.5534117491e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
14              120             ok                      ok                      2.0059753011e-09        5.0364389093e+02        5.3071136353e+10        2.8848200531e+10        1.5536656402e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
15              119             ok                      ok                      2.4851284270e-09        5.0364389458e+02        6.5756147230e+10        3.5738965803e+10        1.5538614889e+01        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
